,[4. 3.],[5. 2.],[6. 1.],[7. 0.]
[2. 2.],-1.0,-1.0,0.0,0.0
[3. 1.],-1.0,-0.5,-0.5,0.0
[4. 0.],-0.5,-0.5,-0.5,-0.5
