,[4. 3.],[5. 2.],[6. 1.],[7. 0.]
[5. 5.],1.0,1.0,-0.0,-0.0
[6. 4.],1.0,0.5,0.5,-0.0
[7. 3.],0.5,0.5,0.5,0.5
[8. 2.],-0.0,0.5,0.5,0.5
[9. 1.],-0.0,-0.0,0.5,0.5
[10.  0.],-0.0,-0.0,-0.0,0.5
