,[2. 2. 2. 2. 2.],[3. 2. 2. 2. 1.],[3. 3. 2. 1. 1.],[3. 3. 2. 2. 0.],[3. 3. 3. 1. 0.],[4. 2. 2. 1. 1.],[4. 2. 2. 2. 0.],[4. 3. 1. 1. 1.],[4. 3. 2. 1. 0.],[4. 3. 3. 0. 0.],[4. 4. 1. 1. 0.],[4. 4. 2. 0. 0.],[5. 2. 1. 1. 1.],[5. 2. 2. 1. 0.],[5. 3. 1. 1. 0.],[5. 3. 2. 0. 0.],[5. 4. 1. 0. 0.],[5. 5. 0. 0. 0.],[6. 1. 1. 1. 1.],[6. 2. 1. 1. 0.],[6. 2. 2. 0. 0.],[6. 3. 1. 0. 0.],[6. 4. 0. 0. 0.],[7. 1. 1. 1. 0.],[7. 2. 1. 0. 0.],[7. 3. 0. 0. 0.],[8. 1. 1. 0. 0.],[8. 2. 0. 0. 0.],[9. 1. 0. 0. 0.],[10.  0.  0.  0.  0.]
[2. 1. 1. 1. 1.],-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.6,-0.8,-1.0,-1.0,-0.6,-0.8,0.2,1.0,-0.2,-0.4,-0.6,0.2,1.0,0.6,0.4,1.0,1.0,1.0,1.0,1.0
[2. 2. 1. 1. 0.],-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.8,-0.9333333333333333,-1.0,-0.5666666666666667,-0.8,-0.7,-0.8333333333333334,-0.5666666666666667,-0.8,-0.2,0.4,-0.2,-0.3333333333333333,-0.5333333333333333,-0.2,0.4,0.3,0.16666666666666666,0.4,0.7333333333333333,0.7,1.0,1.0
[2. 2. 2. 0. 0.],-1.0,-1.0,-0.9,-1.0,-1.0,-0.8,-1.0,-0.8,-0.9,-1.0,-0.6,-0.9,-0.5,-0.7,-0.6,-0.9,-0.4,-0.2,-0.2,-0.3,-0.6,-0.4,-0.2,0.1,0.0,-0.2,0.4,0.4,0.7,1.0
[3. 1. 1. 1. 0.],-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.9,-0.8,-0.8,-0.7,-0.95,-0.8,-0.75,-0.6,-0.4,0.4,-0.8,-0.55,-0.4,-0.2,0.4,-0.2,-0.05,0.55,0.5,0.55,1.0,1.0
[3. 2. 1. 0. 0.],-1.0,-1.0,-0.9666666666666667,-0.9666666666666667,-0.95,-0.9333333333333333,-0.9,-0.9,-0.8833333333333333,-0.9333333333333333,-0.8,-0.7666666666666667,-0.8,-0.7333333333333333,-0.7333333333333333,-0.7,-0.5666666666666667,-0.2,-0.6,-0.5333333333333333,-0.43333333333333335,-0.45,-0.2,-0.3,-0.16666666666666666,0.0,0.13333333333333333,0.3,0.6,1.0
[3. 3. 0. 0. 0.],-1.0,-1.0,-1.0,-0.9,-1.0,-1.0,-0.7,-1.0,-0.9,-1.0,-0.9,-0.8,-1.0,-0.7,-0.9,-0.7,-0.8,-0.7,-1.0,-0.7,-0.4,-0.7,-0.7,-0.7,-0.4,-0.4,-0.4,0.0,0.0,0.6
[4. 1. 1. 0. 0.],-1.0,-1.0,-1.0,-1.0,-0.9,-1.0,-1.0,-1.0,-0.9333333333333333,-0.5666666666666667,-0.9333333333333333,-0.7333333333333333,-1.0,-0.9333333333333333,-0.8333333333333334,-0.6,-0.6333333333333333,-0.2,-1.0,-0.8333333333333334,-0.6,-0.43333333333333335,0.0,-0.7,-0.43333333333333335,0.1,-0.2,0.1,0.5,1.0
[4. 2. 0. 0. 0.],-1.0,-1.0,-1.0,-1.0,-0.85,-1.0,-1.0,-1.0,-0.9,-0.8,-0.9,-0.9,-1.0,-0.9,-0.8,-0.75,-0.75,-0.7,-1.0,-0.8,-0.7,-0.6,-0.55,-0.7,-0.55,-0.35,-0.4,-0.2,0.0,0.6
[5. 1. 0. 0. 0.],-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.7,-1.0,-0.7,-1.0,-1.0,-1.0,-0.8,-0.75,-0.4,-1.0,-1.0,-0.8,-0.75,-0.35,-1.0,-0.75,-0.35,-0.7,-0.35,-0.2,0.6
[6. 0. 0. 0. 0.],-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.6,-1.0,-1.0,-1.0,-1.0,-0.8,-1.0,-1.0,-0.8,-1.0,-0.8,-0.8,-0.2
