,[5. 4.],[6. 3.],[7. 2.],[8. 1.],[9. 0.]
[4. 4.],-1.0,0.0,0.0,0.0,0.0
[5. 3.],-0.5,-0.5,0.0,0.0,0.0
[6. 2.],0.0,-0.5,-0.5,0.0,0.0
[7. 1.],0.0,0.0,-0.5,-0.5,0.0
[8. 0.],0.0,0.0,0.0,-0.5,-0.5
