,[5. 4.],[6. 3.],[7. 2.],[8. 1.],[9. 0.]
[5. 5.],1.0,-0.0,-0.0,-0.0,-0.0
[6. 4.],0.5,0.5,-0.0,-0.0,-0.0
[7. 3.],-0.0,0.5,0.5,-0.0,-0.0
[8. 2.],-0.0,-0.0,0.5,0.5,-0.0
[9. 1.],-0.0,-0.0,-0.0,0.5,0.5
[10.  0.],-0.0,-0.0,-0.0,-0.0,0.5
