,[3. 2. 2.],[3. 3. 1.],[4. 2. 1.],[4. 3. 0.],[5. 1. 1.],[5. 2. 0.],[6. 1. 0.],[7. 0. 0.]
[2. 2. 1.],-1.0,-1.0,-0.6666666666666666,-1.0,0.3333333333333333,-0.3333333333333333,0.6666666666666666,1.0
[3. 1. 1.],-1.0,-1.0,-0.6666666666666666,-0.6666666666666666,-0.3333333333333333,-0.3333333333333333,0.3333333333333333,1.0
[3. 2. 0.],-0.6666666666666666,-0.6666666666666666,-0.5,-0.8333333333333334,-0.3333333333333333,-0.3333333333333333,0.0,0.3333333333333333
[4. 1. 0.],-1.0,-0.6666666666666666,-0.8333333333333334,-0.3333333333333333,-0.6666666666666666,-0.5,-0.3333333333333333,0.3333333333333333
[5. 0. 0.],-1.0,-1.0,-1.0,-0.3333333333333333,-1.0,-0.6666666666666666,-0.6666666666666666,-0.3333333333333333
