,[5. 4.],[6. 3.],[7. 2.],[8. 1.],[9. 0.]
[3. 3.],-1.0,-1.0,0.0,0.0,0.0
[4. 2.],-1.0,-0.5,-0.5,0.0,0.0
[5. 1.],-0.5,-0.5,-0.5,-0.5,0.0
[6. 0.],0.0,-0.5,-0.5,-0.5,-0.5
