,[3. 2.],[4. 1.],[5. 0.]
[4. 3.],1.0,0.5,-0.0
[5. 2.],0.5,0.5,0.5
[6. 1.],-0.0,0.5,0.5
[7. 0.],-0.0,-0.0,0.5
