,[2. 2.],[3. 1.],[4. 0.]
[4. 3.],1.0,1.0,0.5
[5. 2.],1.0,0.5,0.5
[6. 1.],-0.0,0.5,0.5
[7. 0.],-0.0,-0.0,0.5
