,[1. 1. 1. 1. 1. 1. 1.],[2. 1. 1. 1. 1. 1. 0.],[2. 2. 1. 1. 1. 0. 0.],[2. 2. 2. 1. 0. 0. 0.],[3. 1. 1. 1. 1. 0. 0.],[3. 2. 1. 1. 0. 0. 0.],[3. 2. 2. 0. 0. 0. 0.],[3. 3. 1. 0. 0. 0. 0.],[4. 1. 1. 1. 0. 0. 0.],[4. 2. 1. 0. 0. 0. 0.],[4. 3. 0. 0. 0. 0. 0.],[5. 1. 1. 0. 0. 0. 0.],[5. 2. 0. 0. 0. 0. 0.],[6. 1. 0. 0. 0. 0. 0.],[7. 0. 0. 0. 0. 0. 0.]
[4. 2. 2. 1. 1. 0. 0.],1.0,0.7619047619047619,0.6857142857142857,0.6571428571428571,0.7523809523809524,0.7428571428571429,0.7523809523809524,0.8285714285714286,0.9285714285714286,0.9238095238095239,1.0,1.0,1.0,1.0,1.0
[4. 2. 2. 2. 0. 0. 0.],1.0,0.7857142857142857,0.7428571428571429,0.7857142857142857,0.5714285714285714,0.6142857142857143,0.7142857142857143,0.6,0.7571428571428571,0.8285714285714286,0.8571428571428571,0.8857142857142857,1.0,1.0,1.0
[4. 3. 1. 1. 1. 0. 0.],-0.0,0.2857142857142857,0.4095238095238095,0.5142857142857142,0.6476190476190476,0.7,0.7428571428571429,0.9142857142857143,0.8428571428571429,0.8571428571428571,1.0,1.0,1.0,1.0,1.0
[4. 3. 2. 1. 0. 0. 0.],-0.0,0.2857142857142857,0.44761904761904764,0.5857142857142857,0.4380952380952381,0.5761904761904761,0.7142857142857143,0.7142857142857143,0.5857142857142857,0.7333333333333333,0.9047619047619048,0.8,0.9285714285714286,1.0,1.0
[4. 3. 3. 0. 0. 0. 0.],-1.0,-0.42857142857142855,0.14285714285714285,0.6,-0.12380952380952381,0.37142857142857144,0.7714285714285715,0.6190476190476191,0.02857142857142857,0.44761904761904764,0.7619047619047619,0.3142857142857143,0.7142857142857143,0.7142857142857143,1.0
[4. 4. 1. 1. 0. 0. 0.],-1.0,-0.47619047619047616,-0.0761904761904762,0.2,0.1619047619047619,0.4095238095238095,0.6,0.7523809523809524,0.4857142857142857,0.6761904761904762,0.9523809523809523,0.6952380952380952,0.8571428571428571,1.0,1.0
[4. 4. 2. 0. 0. 0. 0.],-1.0,-0.5238095238095238,-0.12380952380952381,0.2571428571428571,-0.047619047619047616,0.2571428571428571,0.580952380952381,0.5047619047619047,0.14285714285714285,0.4857142857142857,0.7619047619047619,0.3142857142857143,0.6666666666666666,0.7142857142857143,1.0
[5. 1. 1. 1. 1. 1. 0.],-0.0,0.14285714285714285,0.23809523809523808,0.2857142857142857,0.7619047619047619,0.7142857142857143,0.7142857142857143,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[5. 2. 1. 1. 1. 0. 0.],-0.0,0.14285714285714285,0.22857142857142856,0.3,0.5047619047619047,0.5571428571428572,0.6,0.8,0.8428571428571429,0.8571428571428571,1.0,1.0,1.0,1.0,1.0
[5. 2. 2. 1. 0. 0. 0.],-0.0,0.14285714285714285,0.23809523809523808,0.34285714285714286,0.3047619047619048,0.3904761904761905,0.5047619047619047,0.5333333333333333,0.6142857142857143,0.7142857142857143,0.8571428571428571,0.8571428571428571,0.9523809523809523,1.0,1.0
