,[4. 4.],[5. 3.],[6. 2.],[7. 1.],[8. 0.]
[4. 4.],-0.0,-0.0,-0.0,-0.0,-0.0
[5. 3.],-0.0,-0.0,-0.0,-0.0,-0.0
[6. 2.],-0.0,-0.0,-0.0,-0.0,-0.0
[7. 1.],-0.0,-0.0,-0.0,-0.0,-0.0
[8. 0.],-0.0,-0.0,-0.0,-0.0,-0.0
