,[3. 3.],[4. 2.],[5. 1.],[6. 0.]
[5. 5.],1.0,1.0,1.0,-0.0
[6. 4.],1.0,1.0,0.5,0.5
[7. 3.],1.0,0.5,0.5,0.5
[8. 2.],-0.0,0.5,0.5,0.5
[9. 1.],-0.0,-0.0,0.5,0.5
[10.  0.],-0.0,-0.0,-0.0,0.5
