,[5. 4.],[6. 3.],[7. 2.],[8. 1.],[9. 0.]
[1. 1.],-1.0,-1.0,-1.0,-1.0,0.0
[2. 0.],-1.0,-1.0,-1.0,-0.5,-0.5
