,[3. 2.],[4. 1.],[5. 0.]
[4. 4.],1.0,1.0,-0.0
[5. 3.],1.0,0.5,0.5
[6. 2.],0.5,0.5,0.5
[7. 1.],-0.0,0.5,0.5
[8. 0.],-0.0,-0.0,0.5
