,[3. 3.],[4. 2.],[5. 1.],[6. 0.]
[4. 3.],1.0,0.5,-0.0,-0.0
[5. 2.],-0.0,0.5,0.5,-0.0
[6. 1.],-0.0,-0.0,0.5,0.5
[7. 0.],-0.0,-0.0,-0.0,0.5
