,[1. 1. 1. 1. 1. 1. 1. 1.],[2. 1. 1. 1. 1. 1. 1. 0.],[2. 2. 1. 1. 1. 1. 0. 0.],[2. 2. 2. 1. 1. 0. 0. 0.],[2. 2. 2. 2. 0. 0. 0. 0.],[3. 1. 1. 1. 1. 1. 0. 0.],[3. 2. 1. 1. 1. 0. 0. 0.],[3. 2. 2. 1. 0. 0. 0. 0.],[3. 3. 1. 1. 0. 0. 0. 0.],[3. 3. 2. 0. 0. 0. 0. 0.],[4. 1. 1. 1. 1. 0. 0. 0.],[4. 2. 1. 1. 0. 0. 0. 0.],[4. 2. 2. 0. 0. 0. 0. 0.],[4. 3. 1. 0. 0. 0. 0. 0.],[4. 4. 0. 0. 0. 0. 0. 0.],[5. 1. 1. 1. 0. 0. 0. 0.],[5. 2. 1. 0. 0. 0. 0. 0.],[5. 3. 0. 0. 0. 0. 0. 0.],[6. 1. 1. 0. 0. 0. 0. 0.],[6. 2. 0. 0. 0. 0. 0. 0.],[7. 1. 0. 0. 0. 0. 0. 0.],[8. 0. 0. 0. 0. 0. 0. 0.]
[2. 2. 1. 1. 1. 1. 1. 1.],1.0,1.0,0.9642857142857143,0.8928571428571429,0.7857142857142857,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[2. 2. 2. 1. 1. 1. 1. 0.],1.0,1.0,0.9285714285714286,0.8357142857142857,0.7428571428571429,0.9821428571428571,0.9464285714285714,0.9071428571428571,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[2. 2. 2. 2. 1. 1. 0. 0.],1.0,1.0,0.9142857142857143,0.8357142857142857,0.7857142857142857,0.9285714285714286,0.8571428571428571,0.8166666666666667,0.8547619047619047,0.8809523809523809,0.9857142857142858,0.969047619047619,0.9761904761904762,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[2. 2. 2. 2. 2. 0. 0. 0.],1.0,1.0,0.9285714285714286,0.8928571428571429,1.0,0.8214285714285714,0.75,0.7321428571428571,0.6071428571428571,0.6428571428571429,0.9285714285714286,0.9107142857142857,1.0,0.8214285714285714,1.0,0.9821428571428571,1.0,1.0,1.0,1.0,1.0,1.0
[3. 1. 1. 1. 1. 1. 1. 1.],1.0,0.875,0.75,0.625,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[3. 2. 1. 1. 1. 1. 1. 0.],1.0,0.8035714285714286,0.6904761904761905,0.625,0.5714285714285714,0.9345238095238095,0.8839285714285714,0.8452380952380952,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[3. 2. 2. 1. 1. 1. 0. 0.],1.0,0.7678571428571429,0.6785714285714286,0.6375,0.6142857142857143,0.7976190476190477,0.7589285714285714,0.75,0.8690476190476191,0.8928571428571429,0.9357142857142857,0.9142857142857143,0.9285714285714286,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[3. 2. 2. 2. 1. 0. 0. 0.],1.0,0.7678571428571429,0.7,0.6892857142857143,0.7142857142857143,0.625,0.6330357142857143,0.675,0.6285714285714286,0.7321428571428571,0.7857142857142857,0.8035714285714286,0.875,0.8303571428571429,1.0,0.9392857142857143,0.9642857142857143,1.0,1.0,1.0,1.0,1.0
[3. 3. 1. 1. 1. 1. 0. 0.],-0.0,0.25,0.36904761904761907,0.45714285714285713,0.5428571428571428,0.6309523809523809,0.6571428571428571,0.7,0.9142857142857143,0.9285714285714286,0.8214285714285714,0.819047619047619,0.8571428571428571,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[3. 3. 2. 1. 1. 0. 0. 0.],-0.0,0.25,0.38095238095238093,0.4928571428571429,0.6,0.39880952380952384,0.5178571428571429,0.6261904761904762,0.6785714285714286,0.7976190476190477,0.5678571428571428,0.6761904761904762,0.7678571428571429,0.8571428571428571,1.0,0.8642857142857143,0.9107142857142857,1.0,1.0,1.0,1.0,1.0
[3. 3. 2. 2. 0. 0. 0. 0.],-0.0,0.25,0.4166666666666667,0.5857142857142857,0.7857142857142857,0.21428571428571427,0.37142857142857144,0.5666666666666667,0.36904761904761907,0.6309523809523809,0.3142857142857143,0.4857142857142857,0.7023809523809523,0.5357142857142857,0.7857142857142857,0.6142857142857143,0.7857142857142857,0.8928571428571429,0.8571428571428571,1.0,1.0,1.0
[3. 3. 3. 1. 0. 0. 0. 0.],-1.0,-0.44642857142857145,0.03571428571428571,0.375,0.6142857142857143,-0.21428571428571427,0.21428571428571427,0.5285714285714286,0.42857142857142855,0.7321428571428571,-0.0,0.33214285714285713,0.6071428571428571,0.5714285714285714,0.7857142857142857,0.42142857142857143,0.6964285714285714,0.9464285714285714,0.7857142857142857,0.9464285714285714,1.0,1.0
[4. 1. 1. 1. 1. 1. 1. 0.],-0.0,0.125,0.21428571428571427,0.26785714285714285,0.2857142857142857,0.7857142857142857,0.7321428571428571,0.7142857142857143,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[4. 2. 1. 1. 1. 1. 0. 0.],-0.0,0.125,0.20238095238095238,0.2642857142857143,0.3142857142857143,0.5416666666666666,0.5678571428571428,0.5976190476190476,0.819047619047619,0.8571428571428571,0.875,0.8666666666666667,0.8928571428571429,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[4. 2. 2. 1. 1. 0. 0. 0.],-0.0,0.125,0.20238095238095238,0.2785714285714286,0.35714285714285715,0.34523809523809523,0.4107142857142857,0.4880952380952381,0.5857142857142857,0.6785714285714286,0.6571428571428571,0.7166666666666667,0.7976190476190477,0.8571428571428571,1.0,0.8642857142857143,0.9107142857142857,1.0,1.0,1.0,1.0,1.0
[4. 2. 2. 2. 0. 0. 0. 0.],-0.0,0.125,0.21428571428571427,0.32142857142857145,0.5,0.19642857142857142,0.2642857142857143,0.375,0.30714285714285716,0.44642857142857145,0.42142857142857143,0.5285714285714286,0.7321428571428571,0.5714285714285714,0.8928571428571429,0.6142857142857143,0.75,0.8392857142857143,0.8571428571428571,1.0,1.0,1.0
[4. 3. 1. 1. 1. 0. 0. 0.],-1.0,-0.5178571428571429,-0.15714285714285714,0.09642857142857143,0.3,0.017857142857142856,0.2767857142857143,0.4642857142857143,0.6571428571428571,0.7678571428571429,0.39285714285714285,0.5678571428571428,0.6964285714285714,0.8839285714285714,1.0,0.75,0.8392857142857143,1.0,1.0,1.0,1.0,1.0
[4. 3. 2. 1. 0. 0. 0. 0.],-1.0,-0.5357142857142857,-0.18333333333333332,0.10714285714285714,0.35714285714285715,-0.15476190476190477,0.10892857142857143,0.35833333333333334,0.3523809523809524,0.5952380952380952,0.10714285714285714,0.35833333333333334,0.5952380952380952,0.6101190476190477,0.8928571428571429,0.42142857142857143,0.6547619047619048,0.8928571428571429,0.7857142857142857,0.9464285714285714,1.0,1.0
[4. 3. 3. 0. 0. 0. 0. 0.],-1.0,-1.0,-0.6428571428571429,-0.10714285714285714,0.42857142857142855,-0.7619047619047619,-0.32142857142857145,0.21428571428571427,-0.011904761904761904,0.5535714285714286,-0.5,-0.07142857142857142,0.40476190476190477,0.22023809523809523,0.5,-0.16071428571428573,0.2857142857142857,0.6607142857142857,0.2857142857142857,0.7321428571428571,0.7321428571428571,1.0
[4. 4. 1. 1. 0. 0. 0. 0.],-1.0,-1.0,-0.6880952380952381,-0.32857142857142857,-0.0,-0.5833333333333334,-0.15714285714285714,0.17857142857142858,0.36904761904761907,0.6071428571428571,-0.21428571428571427,0.20238095238095238,0.5,0.6904761904761905,0.9642857142857143,0.17857142857142858,0.5,0.8928571428571429,0.7023809523809523,0.8928571428571429,1.0,1.0
[4. 4. 2. 0. 0. 0. 0. 0.],-1.0,-1.0,-0.7619047619047619,-0.42857142857142855,-0.0,-0.7023809523809523,-0.35714285714285715,0.017857142857142856,0.03571428571428571,0.40476190476190477,-0.4642857142857143,-0.10119047619047619,0.34523809523809523,0.30952380952380953,0.75,-0.16071428571428573,0.19047619047619047,0.5714285714285714,0.2857142857142857,0.6964285714285714,0.7321428571428571,1.0
