,[5. 5.],[6. 4.],[7. 3.],[8. 2.],[9. 1.],[10.  0.]
[4. 4.],-1.0,-1.0,0.0,0.0,0.0,0.0
[5. 3.],-1.0,-0.5,-0.5,0.0,0.0,0.0
[6. 2.],0.0,-0.5,-0.5,-0.5,0.0,0.0
[7. 1.],0.0,0.0,-0.5,-0.5,-0.5,0.0
[8. 0.],0.0,0.0,0.0,-0.5,-0.5,-0.5
