,[4. 3.],[5. 2.],[6. 1.],[7. 0.]
[3. 2.],-1.0,-0.5,0.0,0.0
[4. 1.],-0.5,-0.5,-0.5,0.0
[5. 0.],0.0,-0.5,-0.5,-0.5
