,[5. 5.],[6. 4.],[7. 3.],[8. 2.],[9. 1.],[10.  0.]
[5. 5.],-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
[6. 4.],-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
[7. 3.],-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
[8. 2.],-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
[9. 1.],-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
[10.  0.],-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
