,[3. 3.],[4. 2.],[5. 1.],[6. 0.]
[3. 2.],-1.0,-0.5,0.0,0.0
[4. 1.],0.0,-0.5,-0.5,0.0
[5. 0.],0.0,0.0,-0.5,-0.5
