,[3. 3.],[4. 2.],[5. 1.],[6. 0.]
[3. 3.],-0.0,-0.0,-0.0,-0.0
[4. 2.],-0.0,-0.0,-0.0,-0.0
[5. 1.],-0.0,-0.0,-0.0,-0.0
[6. 0.],-0.0,-0.0,-0.0,-0.0
