,[4. 4.],[5. 3.],[6. 2.],[7. 1.],[8. 0.]
[2. 2.],-1.0,-1.0,-1.0,0.0,0.0
[3. 1.],-1.0,-1.0,-0.5,-0.5,0.0
[4. 0.],-1.0,-0.5,-0.5,-0.5,-0.5
