,[2. 1. 1. 1. 1. 1. 1. 1.],[2. 2. 1. 1. 1. 1. 1. 0.],[2. 2. 2. 1. 1. 1. 0. 0.],[2. 2. 2. 2. 1. 0. 0. 0.],[3. 1. 1. 1. 1. 1. 1. 0.],[3. 2. 1. 1. 1. 1. 0. 0.],[3. 2. 2. 1. 1. 0. 0. 0.],[3. 2. 2. 2. 0. 0. 0. 0.],[3. 3. 1. 1. 1. 0. 0. 0.],[3. 3. 2. 1. 0. 0. 0. 0.],[3. 3. 3. 0. 0. 0. 0. 0.],[4. 1. 1. 1. 1. 1. 0. 0.],[4. 2. 1. 1. 1. 0. 0. 0.],[4. 2. 2. 1. 0. 0. 0. 0.],[4. 3. 1. 1. 0. 0. 0. 0.],[4. 3. 2. 0. 0. 0. 0. 0.],[4. 4. 1. 0. 0. 0. 0. 0.],[5. 1. 1. 1. 1. 0. 0. 0.],[5. 2. 1. 1. 0. 0. 0. 0.],[5. 2. 2. 0. 0. 0. 0. 0.],[5. 3. 1. 0. 0. 0. 0. 0.],[5. 4. 0. 0. 0. 0. 0. 0.],[6. 1. 1. 1. 0. 0. 0. 0.],[6. 2. 1. 0. 0. 0. 0. 0.],[6. 3. 0. 0. 0. 0. 0. 0.],[7. 1. 1. 0. 0. 0. 0. 0.],[7. 2. 0. 0. 0. 0. 0. 0.],[8. 1. 0. 0. 0. 0. 0. 0.],[9. 0. 0. 0. 0. 0. 0. 0.]
[2. 1. 1. 1. 1. 1. 1. 1.],-0.0,-0.125,-0.25,-0.375,0.75,0.625,0.5,0.375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[2. 2. 1. 1. 1. 1. 1. 0.],0.125,-0.0,-0.10714285714285714,-0.21428571428571427,0.5357142857142857,0.40476190476190477,0.30357142857142855,0.21428571428571427,0.7142857142857143,0.6726190476190477,1.0,0.8988095238095238,0.8392857142857143,0.7976190476190477,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[2. 2. 2. 1. 1. 1. 0. 0.],0.25,0.10714285714285714,-0.0,-0.10714285714285714,0.35714285714285715,0.2642857142857143,0.18571428571428572,0.10714285714285714,0.40535714285714286,0.37142857142857144,0.6428571428571429,0.7321428571428571,0.6625,0.6321428571428571,0.7785714285714286,0.8214285714285714,1.0,0.9357142857142857,0.9142857142857143,0.9285714285714286,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[2. 2. 2. 2. 1. 0. 0. 0.],0.375,0.21428571428571427,0.10714285714285714,-0.0,0.21428571428571427,0.15714285714285714,0.08928571428571429,-0.0,0.15,0.08928571428571429,0.10714285714285714,0.5357142857142857,0.4928571428571429,0.48214285714285715,0.4785714285714286,0.5357142857142857,0.7857142857142857,0.7857142857142857,0.7785714285714286,0.8571428571428571,0.7857142857142857,1.0,0.9392857142857143,0.9642857142857143,1.0,1.0,1.0,1.0,1.0
[3. 1. 1. 1. 1. 1. 1. 0.],-0.75,-0.5357142857142857,-0.35714285714285715,-0.21428571428571427,-0.0,0.10714285714285714,0.17857142857142858,0.21428571428571427,0.7321428571428571,0.7142857142857143,1.0,0.6607142857142857,0.625,0.625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[3. 2. 1. 1. 1. 1. 0. 0.],-0.625,-0.40476190476190477,-0.2642857142857143,-0.15714285714285714,-0.10714285714285714,-0.0,0.0869047619047619,0.15714285714285714,0.37142857142857144,0.44285714285714284,0.8214285714285714,0.38095238095238093,0.425,0.4714285714285714,0.7535714285714286,0.8095238095238095,1.0,0.8214285714285714,0.819047619047619,0.8571428571428571,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[3. 2. 2. 1. 1. 0. 0. 0.],-0.5,-0.30357142857142855,-0.18571428571428572,-0.08928571428571429,-0.17857142857142858,-0.0869047619047619,-0.0,0.08928571428571429,0.08214285714285714,0.18095238095238095,0.42857142857142855,0.16071428571428573,0.24642857142857144,0.3345238095238095,0.41904761904761906,0.5535714285714286,0.75,0.5678571428571428,0.638095238095238,0.7321428571428571,0.8035714285714286,1.0,0.8642857142857143,0.9107142857142857,1.0,1.0,1.0,1.0,1.0
[3. 2. 2. 2. 0. 0. 0. 0.],-0.375,-0.21428571428571427,-0.10714285714285714,-0.0,-0.21428571428571427,-0.15714285714285714,-0.08928571428571429,-0.0,-0.15,-0.08928571428571429,-0.10714285714285714,-0.0,0.07857142857142857,0.17857142857142858,0.08928571428571429,0.21428571428571427,0.35714285714285715,0.3142857142857143,0.42142857142857143,0.6071428571428571,0.44642857142857145,0.7857142857142857,0.6142857142857143,0.75,0.8392857142857143,0.8571428571428571,1.0,1.0,1.0
[3. 3. 1. 1. 1. 0. 0. 0.],-1.0,-0.7142857142857143,-0.40535714285714286,-0.15,-0.7321428571428571,-0.37142857142857144,-0.08214285714285714,0.15,-0.0,0.2642857142857143,0.6964285714285714,-0.2857142857142857,-0.0,0.225,0.37142857142857144,0.5714285714285714,0.7142857142857143,0.26785714285714285,0.4785714285714286,0.625,0.8392857142857143,1.0,0.75,0.8392857142857143,1.0,1.0,1.0,1.0,1.0
[3. 3. 2. 1. 0. 0. 0. 0.],-1.0,-0.6726190476190477,-0.37142857142857144,-0.08928571428571429,-0.7142857142857143,-0.44285714285714284,-0.18095238095238095,0.08928571428571429,-0.2642857142857143,-0.0,0.25,-0.39285714285714285,-0.16428571428571428,0.08095238095238096,-0.0,0.2857142857142857,0.26785714285714285,-0.0,0.2511904761904762,0.5,0.47023809523809523,0.7857142857142857,0.42142857142857143,0.6547619047619048,0.8928571428571429,0.7857142857142857,0.9464285714285714,1.0,1.0
[3. 3. 3. 0. 0. 0. 0. 0.],-1.0,-1.0,-0.6428571428571429,-0.10714285714285714,-1.0,-0.8214285714285714,-0.42857142857142855,0.10714285714285714,-0.6964285714285714,-0.25,-0.0,-0.8214285714285714,-0.5357142857142857,-0.16071428571428573,-0.44642857142857145,-0.0,-0.2857142857142857,-0.5357142857142857,-0.16071428571428573,0.2857142857142857,-0.0,0.25,-0.16071428571428573,0.2857142857142857,0.625,0.2857142857142857,0.7321428571428571,0.7321428571428571,1.0
[4. 1. 1. 1. 1. 1. 0. 0.],-1.0,-0.8988095238095238,-0.7321428571428571,-0.5357142857142857,-0.6607142857142857,-0.38095238095238093,-0.16071428571428573,-0.0,0.2857142857142857,0.39285714285714285,0.8214285714285714,-0.0,0.19642857142857142,0.3333333333333333,0.7619047619047619,0.8214285714285714,1.0,0.6071428571428571,0.6726190476190477,0.7619047619047619,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[4. 2. 1. 1. 1. 0. 0. 0.],-1.0,-0.8392857142857143,-0.6625,-0.4928571428571429,-0.625,-0.425,-0.24642857142857144,-0.07857142857142857,-0.0,0.16428571428571428,0.5357142857142857,-0.19642857142857142,-0.0,0.175,0.425,0.5803571428571429,0.8392857142857143,0.26785714285714285,0.425,0.5714285714285714,0.7767857142857143,1.0,0.75,0.8392857142857143,1.0,1.0,1.0,1.0,1.0
[4. 2. 2. 1. 0. 0. 0. 0.],-1.0,-0.7976190476190477,-0.6321428571428571,-0.48214285714285715,-0.625,-0.4714285714285714,-0.3345238095238095,-0.17857142857142858,-0.225,-0.08095238095238096,0.16071428571428573,-0.3333333333333333,-0.175,-0.0,0.08095238095238096,0.2857142857142857,0.47023809523809523,-0.0,0.17023809523809524,0.38095238095238093,0.4107142857142857,0.8392857142857143,0.42142857142857143,0.6130952380952381,0.8392857142857143,0.7857142857142857,0.9464285714285714,1.0,1.0
[4. 3. 1. 1. 0. 0. 0. 0.],-1.0,-1.0,-0.7785714285714286,-0.4785714285714286,-1.0,-0.7535714285714286,-0.41904761904761906,-0.08928571428571429,-0.37142857142857144,-0.0,0.44642857142857145,-0.7619047619047619,-0.425,-0.08095238095238096,-0.0,0.34523809523809523,0.40476190476190477,-0.35714285714285715,-0.0,0.30952380952380953,0.4523809523809524,0.8392857142857143,0.17857142857142858,0.5,0.8928571428571429,0.7023809523809523,0.8928571428571429,1.0,1.0
[4. 3. 2. 0. 0. 0. 0. 0.],-1.0,-1.0,-0.8214285714285714,-0.5357142857142857,-1.0,-0.8095238095238095,-0.5535714285714286,-0.21428571428571427,-0.5714285714285714,-0.2857142857142857,-0.0,-0.8214285714285714,-0.5803571428571429,-0.2857142857142857,-0.34523809523809523,-0.0,-0.09523809523809523,-0.5357142857142857,-0.25595238095238093,0.09523809523809523,-0.0,0.375,-0.16071428571428573,0.19047619047619047,0.5357142857142857,0.2857142857142857,0.6964285714285714,0.7321428571428571,1.0
[4. 4. 1. 0. 0. 0. 0. 0.],-1.0,-1.0,-1.0,-0.7857142857142857,-1.0,-1.0,-0.75,-0.35714285714285715,-0.7142857142857143,-0.26785714285714285,0.2857142857142857,-1.0,-0.8392857142857143,-0.47023809523809523,-0.40476190476190477,0.09523809523809523,-0.0,-0.8214285714285714,-0.5,-0.09523809523809523,-0.0,0.5,-0.44642857142857145,-0.0,0.5714285714285714,0.09523809523809523,0.5714285714285714,0.6964285714285714,1.0
[5. 1. 1. 1. 1. 0. 0. 0.],-1.0,-1.0,-0.9357142857142857,-0.7857142857142857,-1.0,-0.8214285714285714,-0.5678571428571428,-0.3142857142857143,-0.26785714285714285,-0.0,0.5357142857142857,-0.6071428571428571,-0.26785714285714285,-0.0,0.35714285714285715,0.5357142857142857,0.8214285714285714,-0.0,0.2857142857142857,0.5,0.8214285714285714,1.0,0.5892857142857143,0.75,1.0,1.0,1.0,1.0,1.0
[5. 2. 1. 1. 0. 0. 0. 0.],-1.0,-1.0,-0.9142857142857143,-0.7785714285714286,-1.0,-0.819047619047619,-0.638095238095238,-0.42142857142857143,-0.4785714285714286,-0.2511904761904762,0.16071428571428573,-0.6726190476190477,-0.425,-0.17023809523809524,-0.0,0.25595238095238093,0.5,-0.2857142857142857,-0.0,0.2857142857142857,0.4523809523809524,0.8928571428571429,0.17857142857142858,0.4523809523809524,0.8392857142857143,0.7023809523809523,0.8928571428571429,1.0,1.0
[5. 2. 2. 0. 0. 0. 0. 0.],-1.0,-1.0,-0.9285714285714286,-0.8571428571428571,-1.0,-0.8571428571428571,-0.7321428571428571,-0.6071428571428571,-0.625,-0.5,-0.2857142857142857,-0.7619047619047619,-0.5714285714285714,-0.38095238095238093,-0.30952380952380953,-0.09523809523809523,0.09523809523809523,-0.5,-0.2857142857142857,-0.0,-0.0,0.5357142857142857,-0.16071428571428573,0.09523809523809523,0.4107142857142857,0.2857142857142857,0.6607142857142857,0.7321428571428571,1.0
