,[4. 3.],[5. 2.],[6. 1.],[7. 0.]
[3. 3.],-1.0,0.0,0.0,0.0
[4. 2.],-0.5,-0.5,0.0,0.0
[5. 1.],0.0,-0.5,-0.5,0.0
[6. 0.],0.0,0.0,-0.5,-0.5
