,[3. 2.],[4. 1.],[5. 0.]
[5. 5.],1.0,1.0,1.0
[6. 4.],1.0,1.0,0.5
[7. 3.],1.0,0.5,0.5
[8. 2.],0.5,0.5,0.5
[9. 1.],-0.0,0.5,0.5
[10.  0.],-0.0,-0.0,0.5
