,[5. 5.],[6. 4.],[7. 3.],[8. 2.],[9. 1.],[10.  0.]
[1. 1.],-1.0,-1.0,-1.0,-1.0,-1.0,0.0
[2. 0.],-1.0,-1.0,-1.0,-1.0,-0.5,-0.5
