,[2. 2. 2. 1.],[3. 2. 1. 1.],[3. 2. 2. 0.],[3. 3. 1. 0.],[4. 1. 1. 1.],[4. 2. 1. 0.],[4. 3. 0. 0.],[5. 1. 1. 0.],[5. 2. 0. 0.],[6. 1. 0. 0.],[7. 0. 0. 0.]
[2. 1. 1. 1.],-1.0,-1.0,-1.0,-0.75,-0.25,-0.5,0.0,0.5,0.25,1.0,1.0
[2. 2. 1. 0.],-1.0,-0.6666666666666666,-0.9166666666666666,-0.6666666666666666,-0.25,-0.4166666666666667,-0.5,0.16666666666666666,0.0,0.5833333333333334,1.0
[3. 1. 1. 0.],-1.0,-0.9166666666666666,-0.6666666666666666,-0.6666666666666666,-0.75,-0.5,-0.25,-0.25,-0.08333333333333333,0.4166666666666667,1.0
[3. 2. 0. 0.],-0.75,-0.6666666666666666,-0.6666666666666666,-0.6666666666666666,-0.5,-0.5,-0.6666666666666666,-0.3333333333333333,-0.25,0.0,0.5
[4. 1. 0. 0.],-1.0,-1.0,-0.75,-0.5833333333333334,-1.0,-0.75,-0.25,-0.6666666666666666,-0.4166666666666667,-0.25,0.5
[5. 0. 0. 0.],-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.5,-1.0,-0.75,-0.75,-0.25
