,[4. 4.],[5. 3.],[6. 2.],[7. 1.],[8. 0.]
[1. 1.],-1.0,-1.0,-1.0,-1.0,0.0
[2. 0.],-1.0,-1.0,-1.0,-0.5,-0.5
