,[1. 1.],[2. 0.]
[5. 5.],1.0,1.0
[6. 4.],1.0,1.0
[7. 3.],1.0,1.0
[8. 2.],1.0,1.0
[9. 1.],1.0,0.5
[10.  0.],-0.0,0.5
