,[2. 2.],[3. 1.],[4. 0.]
[3. 3.],1.0,1.0,-0.0
[4. 2.],1.0,0.5,0.5
[5. 1.],-0.0,0.5,0.5
[6. 0.],-0.0,-0.0,0.5
