,[5. 4.],[6. 3.],[7. 2.],[8. 1.],[9. 0.]
[5. 4.],-0.0,-0.0,-0.0,-0.0,-0.0
[6. 3.],-0.0,-0.0,-0.0,-0.0,-0.0
[7. 2.],-0.0,-0.0,-0.0,-0.0,-0.0
[8. 1.],-0.0,-0.0,-0.0,-0.0,-0.0
[9. 0.],-0.0,-0.0,-0.0,-0.0,-0.0
