,[1. 1. 1. 1.],[2. 1. 1. 0.],[2. 2. 0. 0.],[3. 1. 0. 0.],[4. 0. 0. 0.]
[1. 1. 1. 1.],-0.0,-0.0,-0.0,1.0,1.0
[2. 1. 1. 0.],-0.0,-0.0,-0.0,0.4166666666666667,1.0
[2. 2. 0. 0.],-0.0,-0.0,-0.0,-0.0,0.5
[3. 1. 0. 0.],-1.0,-0.4166666666666667,-0.0,-0.0,0.5
[4. 0. 0. 0.],-1.0,-1.0,-0.5,-0.5,-0.0
