,[4. 3.],[5. 2.],[6. 1.],[7. 0.]
[4. 4.],1.0,-0.0,-0.0,-0.0
[5. 3.],0.5,0.5,-0.0,-0.0
[6. 2.],-0.0,0.5,0.5,-0.0
[7. 1.],-0.0,-0.0,0.5,0.5
[8. 0.],-0.0,-0.0,-0.0,0.5
