,[4. 3. 3.],[4. 4. 2.],[5. 3. 2.],[5. 4. 1.],[5. 5. 0.],[6. 2. 2.],[6. 3. 1.],[6. 4. 0.],[7. 2. 1.],[7. 3. 0.],[8. 1. 1.],[8. 2. 0.],[9. 1. 0.],[10.  0.  0.]
[3. 2. 2.],-1.0,-1.0,-1.0,-1.0,-1.0,-0.3333333333333333,-0.6666666666666666,-1.0,0.3333333333333333,-0.6666666666666666,1.0,0.3333333333333333,1.0,1.0
[3. 3. 1.],-1.0,-1.0,-0.6666666666666666,-1.0,-1.0,-0.3333333333333333,-0.6666666666666666,-1.0,0.0,-0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0
[4. 2. 1.],-1.0,-1.0,-0.8333333333333334,-0.8333333333333334,-1.0,-0.6666666666666666,-0.5,-0.6666666666666666,-0.3333333333333333,-0.3333333333333333,0.3333333333333333,0.0,0.6666666666666666,1.0
[4. 3. 0.],-0.6666666666666666,-0.6666666666666666,-0.5,-0.8333333333333334,-1.0,-0.3333333333333333,-0.5,-0.8333333333333334,-0.3333333333333333,-0.3333333333333333,-0.3333333333333333,0.0,0.0,0.3333333333333333
[5. 1. 1.],-1.0,-1.0,-1.0,-0.6666666666666666,-0.3333333333333333,-1.0,-0.6666666666666666,-0.3333333333333333,-0.6666666666666666,-0.3333333333333333,-0.3333333333333333,-0.3333333333333333,0.3333333333333333,1.0
[5. 2. 0.],-1.0,-0.6666666666666666,-0.8333333333333334,-0.5,-0.6666666666666666,-0.6666666666666666,-0.6666666666666666,-0.5,-0.5,-0.5,-0.3333333333333333,-0.3333333333333333,0.0,0.3333333333333333
[6. 1. 0.],-1.0,-1.0,-1.0,-0.6666666666666666,0.0,-1.0,-0.8333333333333334,-0.3333333333333333,-0.8333333333333334,-0.5,-0.6666666666666666,-0.5,-0.3333333333333333,0.3333333333333333
[7. 0. 0.],-1.0,-1.0,-1.0,-1.0,-0.3333333333333333,-1.0,-1.0,-0.3333333333333333,-1.0,-0.6666666666666666,-1.0,-0.6666666666666666,-0.6666666666666666,-0.3333333333333333
