,[1. 1. 1.],[2. 1. 0.],[3. 0. 0.]
[3. 2. 2.],1.0,1.0,1.0
[3. 3. 1.],1.0,1.0,1.0
[4. 2. 1.],1.0,1.0,1.0
[4. 3. 0.],1.0,1.0,1.0
[5. 1. 1.],1.0,0.6666666666666666,1.0
[5. 2. 0.],1.0,0.8333333333333334,0.6666666666666666
[6. 1. 0.],-0.0,0.3333333333333333,0.6666666666666666
[7. 0. 0.],-1.0,-0.3333333333333333,0.3333333333333333
