,5,6,7
1,0.002114440600077311,0.003106256407134387,0.004164774497129911
2,0.001079569657643636,0.0015729162644366828,0.002130023825531851
4,0.0006247009171379938,0.0008253983088902065,0.0011275560902096228
8,0.0005504189597235786,0.0007765641504404496,0.001034647308888528
