,10,100,1000,10000,100000,1000000
1/2^1,0.003315448760986328,0.005665779113769531,0.029277324676513672,0.2679939270019531,2.9364590644836426,29.687199115753174
1/2^2,0.0036194324493408203,0.005627632141113281,0.02900981903076172,0.2865784168243408,3.0323073863983154,32.92406487464905
1/2^3,0.003637075424194336,0.0056781768798828125,0.02897334098815918,0.2698798179626465,3.012640953063965,30.84908127784729
1/2^4,0.0035943984985351562,0.005782365798950195,0.03330564498901367,0.25922060012817383,2.9267165660858154,31.710991621017456
1/2^5,0.0036363601684570312,0.005684614181518555,0.02907729148864746,0.26137852668762207,2.8188893795013428,30.205589056015015
1/2^6,0.003758668899536133,0.0057430267333984375,0.029296875,0.2637302875518799,2.729433059692383,29.702574253082275
1/2^7,0.0036153793334960938,0.0056400299072265625,0.029041767120361328,0.26384782791137695,2.6179070472717285,35.78821063041687
1/2^8,0.007970333099365234,0.012556314468383789,0.06339716911315918,0.6009814739227295,5.4073944091796875,32.71755647659302
1/2^9,0.0036203861236572266,0.005640268325805664,0.0291292667388916,0.2619929313659668,2.5978658199310303,27.06301736831665
1/2^10,0.003695964813232422,0.005869865417480469,0.030595064163208008,0.2726757526397705,2.7988648414611816,27.03977656364441
