,10,100,1000,10000,100000,1000000
1/2^1,0.002728700637817383,0.004961490631103516,0.027605056762695312,0.26079392433166504,2.6422641277313232,27.253572702407837
1/2^2,0.0030715465545654297,0.0050432682037353516,0.027939319610595703,0.26377201080322266,2.7417354583740234,28.033066034317017
1/2^3,0.0031006336212158203,0.0050847530364990234,0.027650117874145508,0.25766563415527344,2.6981265544891357,27.61456847190857
1/2^4,0.0030641555786132812,0.0050830841064453125,0.027974843978881836,0.2550234794616699,2.7524235248565674,27.56810712814331
1/2^5,0.0031414031982421875,0.005058765411376953,0.028466224670410156,0.2564072608947754,2.6832098960876465,27.249083757400513
1/2^6,0.0030367374420166016,0.005114078521728516,0.02828669548034668,0.2595672607421875,2.636066198348999,26.99996781349182
1/2^7,0.0030639171600341797,0.005166053771972656,0.02849721908569336,0.2604401111602783,2.5478007793426514,27.147557735443115
1/2^8,0.003075122833251953,0.005076408386230469,0.0286102294921875,0.25846147537231445,2.574098587036133,26.86113452911377
1/2^9,0.0030786991119384766,0.005131721496582031,0.02856612205505371,0.2578556537628174,2.547785520553589,26.25970220565796
1/2^10,0.0030832290649414062,0.005101203918457031,0.028409481048583984,0.25995945930480957,2.570420503616333,25.400933265686035
