,10,100,1000,10000,100000,1000000
1/2^1,0.003671884536743164,0.00609278678894043,0.029490947723388672,0.27408838272094727,2.9148948192596436,29.50964856147766
1/2^2,0.003362894058227539,0.005361795425415039,0.02841043472290039,0.2872638702392578,3.0566606521606445,30.313153505325317
1/2^3,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1/2^4,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1/2^5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1/2^6,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1/2^7,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1/2^8,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1/2^9,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1/2^10,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
