,10,100,1000,10000,100000,1000000
1/2^1,0.002867460250854492,0.005231380462646484,0.028152942657470703,0.271970272064209,2.7941863536834717,28.51657485961914
1/2^2,0.003187894821166992,0.005223989486694336,0.028435230255126953,0.28006601333618164,2.870778799057007,29.00447416305542
1/2^3,0.0031824111938476562,0.00521540641784668,0.028247594833374023,0.2680366039276123,2.8464174270629883,28.8476984500885
1/2^4,0.003197908401489258,0.005250215530395508,0.028406143188476562,0.25868964195251465,2.802941083908081,28.650482177734375
1/2^5,0.0031757354736328125,0.005285978317260742,0.028656482696533203,0.25772953033447266,2.798964500427246,28.853071689605713
1/2^6,0.0031898021697998047,0.005283832550048828,0.028857946395874023,0.25766491889953613,2.646775722503662,28.604696035385132
1/2^7,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1/2^8,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1/2^9,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1/2^10,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
