,10,100,1000,10000,100000,1000000
1/2^1,0.0028471946716308594,0.006078004837036133,0.034119606018066406,0.3224372863769531,2.787885904312134,28.875648021697998
1/2^2,0.0029222965240478516,0.004895925521850586,0.027969837188720703,0.263505220413208,2.6898915767669678,26.87367010116577
1/2^3,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1/2^4,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1/2^5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1/2^6,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1/2^7,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1/2^8,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1/2^9,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1/2^10,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
