,[2. 2. 2. 1. 1. 1. 1. 1. 1.],[2. 2. 2. 2. 1. 1. 1. 1. 0.],[2. 2. 2. 2. 2. 1. 1. 0. 0.],[2. 2. 2. 2. 2. 2. 0. 0. 0.],[3. 2. 1. 1. 1. 1. 1. 1. 1.],[3. 2. 2. 1. 1. 1. 1. 1. 0.],[3. 2. 2. 2. 1. 1. 1. 0. 0.],[3. 2. 2. 2. 2. 1. 0. 0. 0.],[3. 3. 1. 1. 1. 1. 1. 1. 0.],[3. 3. 2. 1. 1. 1. 1. 0. 0.],[3. 3. 2. 2. 1. 1. 0. 0. 0.],[3. 3. 2. 2. 2. 0. 0. 0. 0.],[3. 3. 3. 1. 1. 1. 0. 0. 0.],[3. 3. 3. 2. 1. 0. 0. 0. 0.],[3. 3. 3. 3. 0. 0. 0. 0. 0.],[4. 1. 1. 1. 1. 1. 1. 1. 1.],[4. 2. 1. 1. 1. 1. 1. 1. 0.],[4. 2. 2. 1. 1. 1. 1. 0. 0.],[4. 2. 2. 2. 1. 1. 0. 0. 0.],[4. 2. 2. 2. 2. 0. 0. 0. 0.],[4. 3. 1. 1. 1. 1. 1. 0. 0.],[4. 3. 2. 1. 1. 1. 0. 0. 0.],[4. 3. 2. 2. 1. 0. 0. 0. 0.],[4. 3. 3. 1. 1. 0. 0. 0. 0.],[4. 3. 3. 2. 0. 0. 0. 0. 0.],[4. 4. 1. 1. 1. 1. 0. 0. 0.],[4. 4. 2. 1. 1. 0. 0. 0. 0.],[4. 4. 2. 2. 0. 0. 0. 0. 0.],[4. 4. 3. 1. 0. 0. 0. 0. 0.],[4. 4. 4. 0. 0. 0. 0. 0. 0.],[5. 1. 1. 1. 1. 1. 1. 1. 0.],[5. 2. 1. 1. 1. 1. 1. 0. 0.],[5. 2. 2. 1. 1. 1. 0. 0. 0.],[5. 2. 2. 2. 1. 0. 0. 0. 0.],[5. 3. 1. 1. 1. 1. 0. 0. 0.],[5. 3. 2. 1. 1. 0. 0. 0. 0.],[5. 3. 2. 2. 0. 0. 0. 0. 0.],[5. 3. 3. 1. 0. 0. 0. 0. 0.],[5. 4. 1. 1. 1. 0. 0. 0. 0.],[5. 4. 2. 1. 0. 0. 0. 0. 0.],[5. 4. 3. 0. 0. 0. 0. 0. 0.],[5. 5. 1. 1. 0. 0. 0. 0. 0.],[5. 5. 2. 0. 0. 0. 0. 0. 0.],[6. 1. 1. 1. 1. 1. 1. 0. 0.],[6. 2. 1. 1. 1. 1. 0. 0. 0.],[6. 2. 2. 1. 1. 0. 0. 0. 0.],[6. 2. 2. 2. 0. 0. 0. 0. 0.],[6. 3. 1. 1. 1. 0. 0. 0. 0.],[6. 3. 2. 1. 0. 0. 0. 0. 0.],[6. 3. 3. 0. 0. 0. 0. 0. 0.],[6. 4. 1. 1. 0. 0. 0. 0. 0.],[6. 4. 2. 0. 0. 0. 0. 0. 0.],[6. 5. 1. 0. 0. 0. 0. 0. 0.],[6. 6. 0. 0. 0. 0. 0. 0. 0.],[7. 1. 1. 1. 1. 1. 0. 0. 0.],[7. 2. 1. 1. 1. 0. 0. 0. 0.],[7. 2. 2. 1. 0. 0. 0. 0. 0.],[7. 3. 1. 1. 0. 0. 0. 0. 0.],[7. 3. 2. 0. 0. 0. 0. 0. 0.],[7. 4. 1. 0. 0. 0. 0. 0. 0.],[7. 5. 0. 0. 0. 0. 0. 0. 0.],[8. 1. 1. 1. 1. 0. 0. 0. 0.],[8. 2. 1. 1. 0. 0. 0. 0. 0.],[8. 2. 2. 0. 0. 0. 0. 0. 0.],[8. 3. 1. 0. 0. 0. 0. 0. 0.],[8. 4. 0. 0. 0. 0. 0. 0. 0.],[9. 1. 1. 1. 0. 0. 0. 0. 0.],[9. 2. 1. 0. 0. 0. 0. 0. 0.],[9. 3. 0. 0. 0. 0. 0. 0. 0.],[10.  1.  1.  0.  0.  0.  0.  0.  0.],[10.  2.  0.  0.  0.  0.  0.  0.  0.],[11.  1.  0.  0.  0.  0.  0.  0.  0.],[12.  0.  0.  0.  0.  0.  0.  0.  0.]
[2. 2. 2. 1. 1. 1. 1. 1. 1.],-0.0,0.0,-0.047619047619047616,-0.2261904761904762,0.0,0.0,0.011904761904761904,-0.11904761904761904,0.0,0.047619047619047616,0.08333333333333333,-0.23809523809523808,0.2261904761904762,0.3333333333333333,1.0,0.0,0.0,0.047619047619047616,0.08333333333333333,-0.11904761904761904,0.11904761904761904,0.2261904761904762,0.3333333333333333,0.5833333333333334,1.0,0.40476190476190477,0.5833333333333334,1.0,1.0,1.0,0.0,0.11904761904761904,0.2261904761904762,0.3333333333333333,0.40476190476190477,0.5833333333333334,1.0,1.0,0.7619047619047619,1.0,1.0,1.0,1.0,0.23809523809523808,0.40476190476190477,0.5833333333333334,1.0,0.7619047619047619,1.0,1.0,1.0,1.0,1.0,1.0,0.5952380952380952,0.7619047619047619,1.0,1.0,1.0,1.0,1.0,0.8809523809523809,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[2. 2. 2. 2. 1. 1. 1. 1. 0.],-0.0,-0.0,-0.023809523809523808,-0.047619047619047616,0.0,0.031746031746031744,0.007936507936507936,-0.06507936507936508,0.09523809523809523,0.11587301587301588,0.047619047619047616,-0.11904761904761904,0.2619047619047619,0.16666666666666666,0.4444444444444444,0.0,0.09523809523809523,0.11587301587301588,0.07936507936507936,-0.03968253968253968,0.2619047619047619,0.2619047619047619,0.1984126984126984,0.46825396825396826,0.4444444444444444,0.4714285714285714,0.46825396825396826,0.4444444444444444,0.7222222222222222,1.0,0.2222222222222222,0.2619047619047619,0.2619047619047619,0.21428571428571427,0.4714285714285714,0.46825396825396826,0.4444444444444444,0.7222222222222222,0.6904761904761905,0.7222222222222222,1.0,0.8809523809523809,1.0,0.46825396825396826,0.4714285714285714,0.46825396825396826,0.4444444444444444,0.6904761904761905,0.7222222222222222,1.0,0.8809523809523809,1.0,1.0,1.0,0.6904761904761905,0.6904761904761905,0.7222222222222222,0.8809523809523809,1.0,1.0,1.0,0.8587301587301587,0.8809523809523809,1.0,1.0,1.0,0.9603174603174603,1.0,1.0,1.0,1.0,1.0,1.0
[2. 2. 2. 2. 2. 1. 1. 0. 0.],0.047619047619047616,0.023809523809523808,-0.0,0.0,0.027777777777777776,0.09391534391534391,0.023809523809523808,-0.023809523809523808,0.2857142857142857,0.13095238095238096,0.01984126984126984,-0.047619047619047616,0.17857142857142858,0.03571428571428571,0.16666666666666666,0.0,0.2857142857142857,0.17063492063492064,0.06746031746031746,-0.007936507936507936,0.40476190476190477,0.23809523809523808,0.09523809523809523,0.32936507936507936,0.16666666666666666,0.5238095238095238,0.3492063492063492,0.16666666666666666,0.4642857142857143,0.5833333333333334,0.5833333333333334,0.40476190476190477,0.25793650793650796,0.11507936507936507,0.5238095238095238,0.3492063492063492,0.16666666666666666,0.4642857142857143,0.6428571428571429,0.4642857142857143,0.5833333333333334,0.7619047619047619,0.5833333333333334,0.7023809523809523,0.5238095238095238,0.3558201058201058,0.16666666666666666,0.6428571428571429,0.4642857142857143,0.5833333333333334,0.7619047619047619,0.5833333333333334,0.8809523809523809,1.0,0.8015873015873016,0.6428571428571429,0.4642857142857143,0.7619047619047619,0.5833333333333334,0.8809523809523809,1.0,0.8809523809523809,0.7619047619047619,0.5833333333333334,0.8809523809523809,1.0,0.9404761904761905,0.8809523809523809,1.0,0.9801587301587301,1.0,1.0,1.0
[2. 2. 2. 2. 2. 2. 0. 0. 0.],0.2261904761904762,0.047619047619047616,-0.0,-0.0,0.5833333333333334,0.2261904761904762,0.047619047619047616,0.0,0.34523809523809523,0.10714285714285714,0.0,-0.011904761904761904,0.0,-0.03571428571428571,0.047619047619047616,1.0,0.5833333333333334,0.2261904761904762,0.047619047619047616,0.0,0.4642857142857143,0.17857142857142858,0.03571428571428571,0.14285714285714285,0.047619047619047616,0.5357142857142857,0.21428571428571427,0.047619047619047616,0.2261904761904762,0.2261904761904762,1.0,0.5833333333333334,0.2261904761904762,0.047619047619047616,0.5357142857142857,0.21428571428571427,0.047619047619047616,0.2261904761904762,0.5714285714285714,0.2261904761904762,0.2261904761904762,0.5833333333333334,0.2261904761904762,1.0,0.5833333333333334,0.2261904761904762,0.047619047619047616,0.5714285714285714,0.2261904761904762,0.2261904761904762,0.5833333333333334,0.2261904761904762,0.5833333333333334,0.5833333333333334,1.0,0.5833333333333334,0.2261904761904762,0.5833333333333334,0.2261904761904762,0.5833333333333334,0.5833333333333334,1.0,0.5833333333333334,0.2261904761904762,0.5833333333333334,0.5833333333333334,1.0,0.5833333333333334,0.5833333333333334,1.0,0.5833333333333334,1.0,1.0
[3. 2. 1. 1. 1. 1. 1. 1. 1.],-0.0,-0.0,-0.027777777777777776,-0.5833333333333334,-0.0,0.0,0.0,-0.16666666666666666,0.0,0.0,0.08333333333333333,0.05555555555555555,0.08333333333333333,0.3194444444444444,1.0,0.0,0.0,0.0,0.1111111111111111,0.16666666666666666,0.0,0.125,0.4166666666666667,0.4166666666666667,1.0,0.16666666666666666,0.5,1.0,1.0,1.0,0.0,0.0,0.16666666666666666,0.5138888888888888,0.16666666666666666,0.5,1.0,1.0,0.5833333333333334,1.0,1.0,1.0,1.0,0.0,0.2222222222222222,0.5833333333333334,1.0,0.5833333333333334,1.0,1.0,1.0,1.0,1.0,1.0,0.2777777777777778,0.6527777777777778,1.0,1.0,1.0,1.0,1.0,0.7222222222222222,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[3. 2. 2. 1. 1. 1. 1. 1. 0.],-0.0,-0.031746031746031744,-0.09391534391534391,-0.2261904761904762,-0.0,-0.0,-0.015873015873015872,-0.07341269841269842,0.0,0.047619047619047616,0.05423280423280423,0.007936507936507936,0.13690476190476192,0.1865079365079365,0.4444444444444444,0.0,0.0,0.06349206349206349,0.09722222222222222,0.10317460317460317,0.07936507936507936,0.17857142857142858,0.2526455026455027,0.34523809523809523,0.5138888888888888,0.2619047619047619,0.40476190476190477,0.5833333333333334,0.6527777777777778,1.0,0.0,0.10582010582010581,0.22023809523809523,0.3253968253968254,0.2619047619047619,0.40476190476190477,0.5833333333333334,0.6527777777777778,0.5238095238095238,0.7023809523809523,1.0,0.8015873015873016,1.0,0.15873015873015872,0.3134920634920635,0.4642857142857143,0.6527777777777778,0.5238095238095238,0.7023809523809523,1.0,0.8015873015873016,1.0,1.0,1.0,0.4166666666666667,0.5793650793650794,0.751984126984127,0.8015873015873016,1.0,1.0,1.0,0.6904761904761905,0.8346560846560847,1.0,1.0,1.0,0.9007936507936508,1.0,1.0,1.0,1.0,1.0,1.0
[3. 2. 2. 2. 1. 1. 1. 0. 0.],-0.011904761904761904,-0.007936507936507936,-0.023809523809523808,-0.047619047619047616,-0.0,0.015873015873015872,-0.0,-0.02619047619047619,0.07142857142857142,0.05238095238095238,0.02619047619047619,-0.007936507936507936,0.10476190476190476,0.07341269841269842,0.16666666666666666,0.0,0.09523809523809523,0.10238095238095238,0.08571428571428572,0.05555555555555555,0.17857142857142858,0.1630952380952381,0.1388888888888889,0.24206349206349206,0.2261904761904762,0.3142857142857143,0.30238095238095236,0.2857142857142857,0.40476190476190477,0.5833333333333334,0.16666666666666666,0.22023809523809523,0.22142857142857142,0.20436507936507936,0.3142857142857143,0.30436507936507934,0.2857142857142857,0.40476190476190477,0.4714285714285714,0.4642857142857143,0.5833333333333334,0.6428571428571429,0.6428571428571429,0.34523809523809523,0.36666666666666664,0.3626984126984127,0.34523809523809523,0.4714285714285714,0.4642857142857143,0.5833333333333334,0.6428571428571429,0.6428571428571429,0.8214285714285714,1.0,0.5238095238095238,0.5261904761904762,0.5238095238095238,0.6428571428571429,0.6428571428571429,0.8214285714285714,1.0,0.6904761904761905,0.6904761904761905,0.7023809523809523,0.8214285714285714,1.0,0.8333333333333334,0.8511904761904762,1.0,0.9404761904761905,1.0,1.0,1.0
[3. 2. 2. 2. 2. 1. 0. 0. 0.],0.11904761904761904,0.06507936507936508,0.023809523809523808,-0.0,0.16666666666666666,0.07341269841269842,0.02619047619047619,-0.0,0.06746031746031746,0.026984126984126985,0.0,-0.007936507936507936,0.0,-0.006349206349206349,0.047619047619047616,0.0,0.24404761904761904,0.1388888888888889,0.07103174603174603,0.023809523809523808,0.1865079365079365,0.11349206349206349,0.060714285714285714,0.10714285714285714,0.07738095238095238,0.2976190476190476,0.19047619047619047,0.10714285714285714,0.19642857142857142,0.2261904761904762,0.5138888888888888,0.3253968253968254,0.20436507936507936,0.10992063492063492,0.3055555555555556,0.19444444444444445,0.10714285714285714,0.19642857142857142,0.39285714285714285,0.25,0.2261904761904762,0.4642857142857143,0.2857142857142857,0.5833333333333334,0.39880952380952384,0.25793650793650796,0.13690476190476192,0.3948412698412698,0.25,0.2261904761904762,0.4642857142857143,0.2857142857142857,0.5238095238095238,0.5833333333333334,0.6527777777777778,0.4662698412698413,0.30357142857142855,0.4642857142857143,0.2857142857142857,0.5238095238095238,0.5833333333333334,0.7222222222222222,0.5297619047619048,0.34523809523809523,0.5238095238095238,0.5833333333333334,0.7916666666666666,0.5912698412698413,0.5833333333333334,0.8611111111111112,0.6527777777777778,0.9305555555555556,1.0
[3. 3. 1. 1. 1. 1. 1. 1. 0.],-0.0,-0.09523809523809523,-0.2857142857142857,-0.34523809523809523,-0.0,-0.0,-0.07142857142857142,-0.06746031746031746,-0.0,0.0,0.047619047619047616,0.17857142857142858,0.047619047619047616,0.20238095238095238,0.4444444444444444,0.0,0.0,0.0,0.07936507936507936,0.19047619047619047,0.0,0.09523809523809523,0.3055555555555556,0.2261904761904762,0.5833333333333334,0.09523809523809523,0.34523809523809523,0.7023809523809523,0.5833333333333334,1.0,0.0,0.0,0.15873015873015872,0.42857142857142855,0.09523809523809523,0.34523809523809523,0.7023809523809523,0.5833333333333334,0.34523809523809523,0.7023809523809523,1.0,0.7023809523809523,1.0,0.0,0.15873015873015872,0.46825396825396826,0.8015873015873016,0.34523809523809523,0.7023809523809523,1.0,0.7023809523809523,1.0,1.0,1.0,0.15873015873015872,0.46825396825396826,0.8015873015873016,0.7023809523809523,1.0,1.0,1.0,0.46825396825396826,0.8015873015873016,1.0,1.0,1.0,0.8015873015873016,1.0,1.0,1.0,1.0,1.0,1.0
[3. 3. 2. 1. 1. 1. 1. 0. 0.],-0.047619047619047616,-0.11587301587301588,-0.13095238095238096,-0.10714285714285714,-0.0,-0.047619047619047616,-0.05238095238095238,-0.026984126984126985,-0.0,-0.0,0.02619047619047619,0.08333333333333333,0.05,0.10317460317460317,0.16666666666666666,0.0,0.0,0.015873015873015872,0.06190476190476191,0.14285714285714285,0.047619047619047616,0.09444444444444444,0.1708994708994709,0.16534391534391535,0.2857142857142857,0.1523809523809524,0.25317460317460316,0.40476190476190477,0.34523809523809523,0.5833333333333334,0.0,0.07936507936507936,0.16507936507936508,0.2746031746031746,0.1523809523809524,0.25846560846560845,0.40476190476190477,0.34523809523809523,0.3142857142857143,0.4642857142857143,0.5833333333333334,0.5238095238095238,0.7023809523809523,0.09523809523809523,0.2253968253968254,0.35873015873015873,0.5238095238095238,0.3142857142857143,0.4642857142857143,0.5833333333333334,0.5238095238095238,0.7023809523809523,0.7619047619047619,1.0,0.2619047619047619,0.41904761904761906,0.5793650793650794,0.5238095238095238,0.7023809523809523,0.7619047619047619,1.0,0.4714285714285714,0.6349206349206349,0.8015873015873016,0.7619047619047619,1.0,0.6904761904761905,0.8412698412698413,1.0,0.8809523809523809,1.0,1.0,1.0
