,10,100,1000,10000
1/2^1,0.08090355386800442,0.005930951630785636,0.002431142052191891,0.002431142052191891
1/2^2,0.16902285681809615,0.018933137633293337,0.0011750044173809047,0.0007904998110503759
1/2^3,0.22883201979499895,0.03388791701067807,0.001218832129957718,0.0002213064813723747
1/2^4,0.3288345530596865,0.06347752537147044,0.003291763551629856,8.626555968950511e-05
1/2^5,0.4172488871112535,0.12906407596650818,0.012439736984230232,0.00025085123394387134
1/2^6,0.4594557880266623,0.20238573380181824,0.027212931637118076,0.0005708818313898933
1/2^7,0.0,0.0,0.0,0.0
1/2^8,0.0,0.0,0.0,0.0
1/2^9,0.0,0.0,0.0,0.0
1/2^10,0.0,0.0,0.0,0.0
