,10,100,1000,10000
1/2^1,0.18804073977275226,0.0050795265821469825,0.0031214385967341567,0.0031214385967341567
1/2^2,0.22129982185207267,0.006060719969807345,0.001511924205844662,0.00012099087943087672
1/2^3,0.3190661955751847,0.019546513017644755,0.00219909542039775,9.064548278293894e-05
1/2^4,0.38464948536061494,0.13979564156879312,0.0037268288840095276,4.5814126312188064e-05
1/2^5,0.450460142186908,0.20773185186654974,0.0050007783942437115,0.00026023747749819026
1/2^6,0.0,0.0,0.0,0.0
1/2^7,0.0,0.0,0.0,0.0
1/2^8,0.0,0.0,0.0,0.0
1/2^9,0.0,0.0,0.0,0.0
1/2^10,0.0,0.0,0.0,0.0
