,10,100,1000,10000,100000,1000000
1/2^1,0.027872020667398245,0.0005255104427415724,1.2290855278597783e-07,5.748353897223055e-172,0.0,0.0
1/2^2,0.02709377256683361,0.00040564380499384656,6.8867167024144315e-06,7.23662975847262e-09,1.3370784499946905e-49,2e-323
1/2^3,0.1211492680848726,0.004067021425589568,0.000744318842048973,3.6234116520339824e-06,8.046514933871264e-12,1.7083608810546082e-89
1/2^4,0.21652319702247236,0.0206900151871868,0.0008418635680515485,1.471929325274463e-06,6.907941822362126e-07,3.2413576732802077e-25
1/2^5,0.2941963550802962,0.031165641681198265,0.0008558288667063485,0.0002605456393856252,2.3917149251003465e-07,4.853036393136225e-10
1/2^6,0.34624387701959225,0.09134536591025907,0.0008994345409499283,0.00036083301063924433,2.6883483105770347e-05,3.8257954254285924e-09
1/2^7,0.3734286899435043,0.18011648073689288,0.015057633822064154,0.00029368660281872683,0.00015144631962907273,1.0763375509663733e-08
1/2^8,0.3867938059503967,0.26773724560187057,0.04705716931068375,0.00011639459487661208,0.00011639459487661208,1.5769051389960542e-05
1/2^9,0.3934170959167692,0.3258008649900065,0.05752253314964302,7.592521113561346e-05,7.649948990767763e-05,7.121356664861744e-05
1/2^10,0.3967136359553708,0.3633883193386177,0.1537555314811772,0.006964776096910791,1.1515947524090575e-05,1.1515947524090575e-05
