,10,100,1000,10000,100000,1000000
1/2^1,0.002495245725145024,7.288629199231058e-21,2.5519537489582504e-195,0.0,0.0,0.0
1/2^2,0.014702869918640182,8.368236351355501e-06,1.779179264151965e-77,5e-324,5e-324,5e-324
1/2^3,0.027835621993284626,1.2165864782940419e-05,2.183386881288779e-33,5e-324,5e-324,5e-324
1/2^4,0.03567502502514635,0.000884057268031095,4.8241782276589274e-09,6.729490306832827e-174,1.5e-323,1.5e-323
1/2^5,0.0398411331783712,0.00860715295528593,1.6572042342039254e-08,4.29828310786482e-78,2.5e-323,2.5e-323
1/2^6,0.04283592909521629,0.021830855982233416,1.2684792083434528e-06,2.131482715465824e-15,5.4e-323,5.4e-323
1/2^7,0.04522585578678476,0.03242395550157306,0.00029333920713253513,2.64625952874495e-14,4.0769867666907814e-141,1.04e-322
1/2^8,0.04642265414286945,0.038860631018800725,0.005078972316119755,1.4906110973533422e-12,4.443293615293411e-16,2.1e-322
1/2^9,0.047020976717793636,0.04146731155863012,0.017646577382962547,3.443709932197592e-08,3.2043074358352124e-16,4.2e-322
1/2^10,0.047320052950541744,0.04433804850349369,0.02932528077740206,6.662600369034589e-05,1.461852479478914e-16,1.461852479478914e-16
