,10,100,1000,10000
1/2^1,0.21101190359668243,0.005184791937567594,0.003168623473530764,0.003168623473530764
1/2^2,0.25835856562883763,0.0055878204305912435,0.00162064910463087,0.00015493294427199045
1/2^3,0.41692188352960413,0.05357208639321309,0.002667600353850129,0.00015096639765360394
1/2^4,0.5536968947012166,0.16557770087928436,0.004058483347139347,0.00016095216515189803
1/2^5,0.6264541397007759,0.21123775458464972,0.004989534902153481,0.00033944622057223775
1/2^6,0.0,0.0,0.0,0.0
1/2^7,0.0,0.0,0.0,0.0
1/2^8,0.0,0.0,0.0,0.0
1/2^9,0.0,0.0,0.0,0.0
1/2^10,0.0,0.0,0.0,0.0
