,10,100,1000,10000
1/2^1,0.07446726879477225,0.008488663113525087,3.590509010990059e-07,5.45245397838116e-49
1/2^2,0.10756541706879294,0.014459852032111,0.0005604945906651322,1.1622607436345994e-16
1/2^3,0.17831207321092504,0.02611547670236717,0.00228082951828441,3.369155732623606e-08
1/2^4,0.2521319341079771,0.04470073635376933,0.00347986807678112,6.175862249252928e-05
1/2^5,0.32528421102393007,0.0891385295987431,0.010800235285691052,0.0003874522536079991
1/2^6,0.0,0.0,0.0,0.0
1/2^7,0.0,0.0,0.0,0.0
1/2^8,0.0,0.0,0.0,0.0
1/2^9,0.0,0.0,0.0,0.0
1/2^10,0.0,0.0,0.0,0.0
