,10,100,1000,10000
1/2^1,0.04357907045261732,0.00535642080431438,0.00240780752465114,0.0004925600369294486
1/2^2,0.09952301407389157,0.010569974091846082,0.0009029465247034768,0.00013973368694974913
1/2^3,0.16216013311497882,0.021487833603386044,0.0017895089926449597,6.84872328838617e-05
1/2^4,0.2102223245415189,0.0342834029764694,0.00416139365230405,3.604574663900752e-05
1/2^5,0.2535749481490568,0.07037294285957732,0.007358074651643308,0.000230368980844161
1/2^6,0.0,0.0,0.0,0.0
1/2^7,0.0,0.0,0.0,0.0
1/2^8,0.0,0.0,0.0,0.0
1/2^9,0.0,0.0,0.0,0.0
1/2^10,0.0,0.0,0.0,0.0
