,10,100,1000,10000,100000,1000000
1/2^1,0.06291935265792528,0.004883360956632426,2.7257620182835214e-08,1.0230606879935165e-61,2.5e-323,2.5e-323
1/2^2,0.14051181529266857,0.011625584253521132,5.353142603257971e-05,2.3554582197816356e-28,1.0761192207477125e-261,9e-323
1/2^3,0.0,0.0,0.0,0.0,0.0,0.0
1/2^4,0.0,0.0,0.0,0.0,0.0,0.0
1/2^5,0.0,0.0,0.0,0.0,0.0,0.0
1/2^6,0.0,0.0,0.0,0.0,0.0,0.0
1/2^7,0.0,0.0,0.0,0.0,0.0,0.0
1/2^8,0.0,0.0,0.0,0.0,0.0,0.0
1/2^9,0.0,0.0,0.0,0.0,0.0,0.0
1/2^10,0.0,0.0,0.0,0.0,0.0,0.0
