,10,100,1000,10000
1/2^1,0.045647967212861185,0.012125658325369403,0.003320453710356365,0.004174798811958334
1/2^2,0.09027727619987803,0.007790061528666334,0.0020423794764856257,0.002240322149446118
1/2^3,0.15686467710727986,0.010341788748625524,0.0021912144058320454,0.0007891850413801749
1/2^4,0.22599248720628745,0.020883276928967628,0.0018046485030553394,0.0007578167907422856
1/2^5,0.2916512298033047,0.05457514370166419,0.000946642214369707,0.0011815645214163818
1/2^6,0.3255917476619037,0.12676067578739308,0.004441956879452336,0.0003363161374116061
1/2^7,0.34226508578014386,0.19311816572725407,0.015468284265023759,0.00023788707689852834
1/2^8,0.35051268083881776,0.2680155606260201,0.03458704151806159,0.00012451538079030766
1/2^9,0.35461248105463056,0.31319680671320294,0.10313462539759718,0.0023042770713140974
1/2^10,0.0,0.0,0.0,0.0
