,10,100,1000,10000
1/2^1,0.027313607717477813,1.748302902501757e-07,8.372173021464855e-73,0.0
1/2^2,0.15296000241168947,0.00018552744677278858,1.619360797074071e-26,5.784292637907947e-298
1/2^3,0.29930259829952655,0.0030197521598083516,1.0488412343287418e-13,8.54968490349954e-126
1/2^4,0.3938314488182137,0.018529908360287416,2.28189614983555e-08,2.351840132525842e-53
1/2^5,0.0,0.0,0.0,0.0
1/2^6,0.0,0.0,0.0,0.0
1/2^7,0.0,0.0,0.0,0.0
1/2^8,0.0,0.0,0.0,0.0
1/2^9,0.0,0.0,0.0,0.0
1/2^10,0.0,0.0,0.0,0.0
