,10,100,1000,10000
1/2^1,0.04709062072484785,0.012977345736370965,0.012983920261402278,0.017144429407007604
1/2^2,0.07541015179298168,0.008259319760587127,0.010691554890748384,0.002996032562096282
1/2^3,0.1084687285702725,0.010551922205887777,0.004593256695786318,0.0006163322675776101
1/2^4,0.13880011821517393,0.03139465481088989,0.002596888692215176,0.001870480842767419
1/2^5,0.17593879384271485,0.052270592845541544,0.0014244519644507833,0.0011587653083119775
1/2^6,0.23758580470091956,0.0875253148234059,0.008584302525688425,0.0004539475550737436
1/2^7,0.2739607956690539,0.12921907097561366,0.02564617619412131,0.00010739337417607284
1/2^8,0.2918515322682692,0.15811250326766774,0.044232184739573605,0.00010490559397378224
1/2^9,0.3007158954737965,0.21277506621933004,0.0759029931319542,0.0074140114959818666
1/2^10,0.0,0.0,0.0,0.0
