,10,100,1000,10000
1/2^1,0.0520580769768509,0.004942215180260397,7.263500654740106e-08,2.942743477223909e-58
1/2^2,0.1750578014625932,0.006118700802944726,0.0011849473835413675,2.7257534311958697e-17
1/2^3,0.32073643525942014,0.00986298389503222,0.0007066312972461644,1.531975268102468e-05
1/2^4,0.45910816487519984,0.029849091378700343,0.0028354193116230803,7.287103253356131e-05
1/2^5,0.5437248934794159,0.10429697466396434,0.004068398995718946,6.064775007318113e-05
1/2^6,0.5816880715344523,0.272960292007844,0.006113644425331983,0.0004909671712495511
1/2^7,0.5995499067208337,0.3966211682017474,0.018590529617878132,0.0015644749101537264
1/2^8,0.0,0.0,0.0,0.0
1/2^9,0.0,0.0,0.0,0.0
1/2^10,0.0,0.0,0.0,0.0
