,10,100,1000,10000,100000,1000000
1/2^1,0.01846525108608408,2.8180483295377505e-05,2.6882041605188304e-53,0.0,0.0,0.0
1/2^2,0.05945834876915544,0.00019806356682187877,5.80813169513446e-26,1.0775922404535052e-247,2e-323,2e-323
1/2^3,0.09905934742955927,0.004238870543647178,6.664126621971612e-14,1.0168668290439915e-121,4e-323,4e-323
1/2^4,0.14737631443970106,0.013840037334183784,1.6194184989380658e-06,6.089855044976864e-61,8.4e-323,8.4e-323
1/2^5,0.17927017248599714,0.03937183176178896,0.00011436311623620027,3.320857915462971e-31,3.986565436847843e-297,1.63e-322
1/2^6,0.19595732561092533,0.07728119005373235,0.0013324343124685308,5.377971227698412e-08,3.038624307672644e-149,3.36e-322
1/2^7,0.0,0.0,0.0,0.0,0.0,0.0
1/2^8,0.0,0.0,0.0,0.0,0.0,0.0
1/2^9,0.0,0.0,0.0,0.0,0.0,0.0
1/2^10,0.0,0.0,0.0,0.0,0.0,0.0
