,10,100,1000,10000
1/2^1,0.0408690266527858,0.0035249814578804054,0.0001328660672178239,8.726074670312167e-06
1/2^2,0.19337207870398443,0.006471195762369073,0.0023341074197263667,6.84008474979847e-06
1/2^3,0.40286986636182476,0.018460413058615885,0.000996521760778274,5.6369191939562024e-05
1/2^4,0.5796242764185728,0.023615320682120248,0.004653040830713245,0.000699554327304841
1/2^5,0.6551607893971279,0.12842124661589055,0.014642763133781878,0.000312562506185991
1/2^6,0.6880057171512739,0.32776801329237826,0.02111824315900504,0.0006436110468899942
1/2^7,0.0,0.0,0.0,0.0
1/2^8,0.0,0.0,0.0,0.0
1/2^9,0.0,0.0,0.0,0.0
1/2^10,0.0,0.0,0.0,0.0
