,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0.],[2. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0.],[2. 2. 1. 1. 1. 1. 1. 1. 0. 0. 0.],[2. 2. 2. 1. 1. 1. 1. 0. 0. 0. 0.],[2. 2. 2. 2. 1. 1. 0. 0. 0. 0. 0.],[2. 2. 2. 2. 2. 0. 0. 0. 0. 0. 0.],[3. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0.],[3. 2. 1. 1. 1. 1. 1. 0. 0. 0. 0.],[3. 2. 2. 1. 1. 1. 0. 0. 0. 0. 0.],[3. 2. 2. 2. 1. 0. 0. 0. 0. 0. 0.],[3. 3. 1. 1. 1. 1. 0. 0. 0. 0. 0.],[3. 3. 2. 1. 1. 0. 0. 0. 0. 0. 0.],[3. 3. 2. 2. 0. 0. 0. 0. 0. 0. 0.],[3. 3. 3. 1. 0. 0. 0. 0. 0. 0. 0.],[4. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0.],[4. 2. 1. 1. 1. 1. 0. 0. 0. 0. 0.],[4. 2. 2. 1. 1. 0. 0. 0. 0. 0. 0.],[4. 2. 2. 2. 0. 0. 0. 0. 0. 0. 0.],[4. 3. 1. 1. 1. 0. 0. 0. 0. 0. 0.],[4. 3. 2. 1. 0. 0. 0. 0. 0. 0. 0.],[4. 3. 3. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 4. 1. 1. 0. 0. 0. 0. 0. 0. 0.],[4. 4. 2. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0.],[5. 2. 1. 1. 1. 0. 0. 0. 0. 0. 0.],[5. 2. 2. 1. 0. 0. 0. 0. 0. 0. 0.],[5. 3. 1. 1. 0. 0. 0. 0. 0. 0. 0.],[5. 3. 2. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 4. 1. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 5. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[6. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0.],[6. 2. 1. 1. 0. 0. 0. 0. 0. 0. 0.],[6. 2. 2. 0. 0. 0. 0. 0. 0. 0. 0.],[6. 3. 1. 0. 0. 0. 0. 0. 0. 0. 0.],[6. 4. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[7. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0.],[7. 2. 1. 0. 0. 0. 0. 0. 0. 0. 0.],[7. 3. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[8. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0.],[8. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[9. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[10.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]
[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0.],-0.0,0.0,0.0,0.0,0.0,0.45454545454545453,0.0,0.0,0.0,0.45454545454545453,0.0,0.45454545454545453,1.0,1.0,0.0,0.0,0.45454545454545453,1.0,0.45454545454545453,1.0,1.0,1.0,1.0,0.0,0.45454545454545453,1.0,1.0,1.0,1.0,1.0,0.45454545454545453,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[2. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0.],-0.0,-0.0,0.0,0.0,0.030303030303030304,0.18181818181818182,0.0,0.0,0.06060606060606061,0.23030303030303031,0.08080808080808081,0.2787878787878788,0.6181818181818182,0.6606060606060606,0.0,0.08080808080808081,0.2787878787878788,0.6181818181818182,0.32727272727272727,0.6606060606060606,1.0,0.703030303030303,1.0,0.10101010101010101,0.32727272727272727,0.6606060606060606,0.703030303030303,1.0,1.0,1.0,0.37575757575757573,0.703030303030303,1.0,1.0,1.0,0.7454545454545455,1.0,1.0,1.0,1.0,1.0,1.0
[2. 2. 1. 1. 1. 1. 1. 1. 0. 0. 0.],-0.0,-0.0,-0.0,0.004329004329004329,0.02077922077922078,0.06060606060606061,0.0,0.021645021645021644,0.05909090909090909,0.11515151515151516,0.09437229437229437,0.17554112554112555,0.2787878787878788,0.37424242424242427,0.032467532467532464,0.09437229437229437,0.17554112554112555,0.2787878787878788,0.24177489177489178,0.37424242424242427,0.6606060606060606,0.4681818181818182,0.6606060606060606,0.13203463203463203,0.24177489177489178,0.37424242424242427,0.4681818181818182,0.6606060606060606,0.7454545454545455,1.0,0.31385281385281383,0.4681818181818182,0.6606060606060606,0.7454545454545455,1.0,0.5606060606060606,0.7454545454545455,1.0,0.8181818181818182,1.0,1.0,1.0
[2. 2. 2. 1. 1. 1. 1. 0. 0. 0. 0.],-0.0,-0.0,-0.004329004329004329,-0.0,0.008225108225108226,0.015151515151515152,0.015151515151515152,0.025108225108225107,0.03722943722943723,0.04632034632034632,0.07922077922077922,0.09437229437229437,0.08787878787878788,0.1696969696969697,0.05670995670995671,0.08051948051948052,0.09437229437229437,0.08787878787878788,0.16017316017316016,0.1696969696969697,0.2787878787878788,0.2727272727272727,0.2787878787878788,0.13203463203463203,0.16017316017316016,0.1696969696969697,0.2727272727272727,0.2787878787878788,0.42424242424242425,0.6181818181818182,0.24458874458874458,0.2727272727272727,0.2787878787878788,0.42424242424242425,0.6181818181818182,0.3939393939393939,0.42424242424242425,0.6181818181818182,0.5757575757575758,0.6181818181818182,0.7818181818181819,1.0
[2. 2. 2. 2. 1. 1. 0. 0. 0. 0. 0.],-0.0,-0.030303030303030304,-0.02077922077922078,-0.008225108225108226,-0.0,0.0021645021645021645,-0.015151515151515152,-0.0007215007215007215,0.008658008658008658,0.010822510822510822,0.03535353535353535,0.032467532467532464,0.015151515151515152,0.045454545454545456,0.047619047619047616,0.04401154401154401,0.032467532467532464,0.015151515151515152,0.07575757575757576,0.045454545454545456,0.06060606060606061,0.10606060606060606,0.06060606060606061,0.09884559884559885,0.07575757575757576,0.045454545454545456,0.10606060606060606,0.06060606060606061,0.1414141414141414,0.18181818181818182,0.15151515151515152,0.10606060606060606,0.06060606060606061,0.1414141414141414,0.18181818181818182,0.21212121212121213,0.1414141414141414,0.18181818181818182,0.2828282828282828,0.18181818181818182,0.36363636363636365,0.45454545454545453
[2. 2. 2. 2. 2. 0. 0. 0. 0. 0. 0.],-0.45454545454545453,-0.18181818181818182,-0.06060606060606061,-0.015151515151515152,-0.0021645021645021645,-0.0,-0.19696969696969696,-0.0670995670995671,-0.012987012987012988,0.0,-0.045454545454545456,0.0,0.0,0.0,-0.0670995670995671,-0.012987012987012988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.012987012987012988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[3. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0.],-0.0,-0.0,-0.0,-0.015151515151515152,0.015151515151515152,0.19696969696969696,-0.0,0.0,0.03409090909090909,0.1696969696969697,0.030303030303030304,0.14242424242424243,0.37424242424242427,0.32651515151515154,0.0,0.03787878787878788,0.1696969696969697,0.421969696969697,0.14242424242424243,0.37424242424242427,0.6606060606060606,0.37424242424242427,0.703030303030303,0.03787878787878788,0.1696969696969697,0.421969696969697,0.37424242424242427,0.703030303030303,0.703030303030303,1.0,0.1696969696969697,0.421969696969697,0.7454545454545455,0.703030303030303,1.0,0.421969696969697,0.7454545454545455,1.0,0.7454545454545455,1.0,1.0,1.0
[3. 2. 1. 1. 1. 1. 1. 0. 0. 0. 0.],-0.0,-0.0,-0.021645021645021644,-0.025108225108225107,0.0007215007215007215,0.0670995670995671,-0.0,-0.0,0.022943722943722943,0.07554112554112555,0.0316017316017316,0.07835497835497836,0.14242424242424243,0.14242424242424243,0.010822510822510822,0.03924963924963925,0.09437229437229437,0.1696969696969697,0.09437229437229437,0.17323232323232324,0.2787878787878788,0.20404040404040405,0.32727272727272727,0.049062049062049064,0.11320346320346321,0.20404040404040405,0.20404040404040405,0.32727272727272727,0.37575757575757573,0.6181818181818182,0.13203463203463203,0.2383838383838384,0.37575757575757573,0.37575757575757573,0.6181818181818182,0.2727272727272727,0.42525252525252527,0.6181818181818182,0.47474747474747475,0.6727272727272727,0.7272727272727273,1.0
[3. 2. 2. 1. 1. 1. 0. 0. 0. 0. 0.],-0.0,-0.06060606060606061,-0.05909090909090909,-0.03722943722943723,-0.008658008658008658,0.012987012987012988,-0.03409090909090909,-0.022943722943722943,-0.0,0.021645021645021644,0.010822510822510822,0.02886002886002886,0.030303030303030304,0.03787878787878788,0.0021645021645021645,0.0183982683982684,0.03607503607503607,0.03787878787878788,0.04329004329004329,0.050505050505050504,0.06060606060606061,0.07575757575757576,0.08080808080808081,0.03571428571428571,0.05411255411255411,0.06313131313131314,0.07575757575757576,0.08080808080808081,0.12121212121212122,0.18181818181818182,0.07575757575757576,0.0946969696969697,0.10101010101010101,0.12121212121212122,0.18181818181818182,0.13257575757575757,0.15151515151515152,0.18181818181818182,0.21212121212121213,0.22727272727272727,0.3181818181818182,0.45454545454545453
[3. 2. 2. 2. 1. 0. 0. 0. 0. 0. 0.],-0.45454545454545453,-0.23030303030303031,-0.11515151515151516,-0.04632034632034632,-0.010822510822510822,-0.0,-0.1696969696969697,-0.07554112554112555,-0.021645021645021644,-0.0,-0.032467532467532464,0.0,0.0,0.0,-0.0670995670995671,-0.01948051948051948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.012987012987012988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
