,[2. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[2. 2. 1. 1. 1. 1. 1. 1. 1. 1. 0.],[2. 2. 2. 1. 1. 1. 1. 1. 1. 0. 0.],[2. 2. 2. 2. 1. 1. 1. 1. 0. 0. 0.],[2. 2. 2. 2. 2. 1. 1. 0. 0. 0. 0.],[2. 2. 2. 2. 2. 2. 0. 0. 0. 0. 0.],[3. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0.],[3. 2. 1. 1. 1. 1. 1. 1. 1. 0. 0.],[3. 2. 2. 1. 1. 1. 1. 1. 0. 0. 0.],[3. 2. 2. 2. 1. 1. 1. 0. 0. 0. 0.],[3. 2. 2. 2. 2. 1. 0. 0. 0. 0. 0.],[3. 3. 1. 1. 1. 1. 1. 1. 0. 0. 0.],[3. 3. 2. 1. 1. 1. 1. 0. 0. 0. 0.],[3. 3. 2. 2. 1. 1. 0. 0. 0. 0. 0.],[3. 3. 2. 2. 2. 0. 0. 0. 0. 0. 0.],[3. 3. 3. 1. 1. 1. 0. 0. 0. 0. 0.],[3. 3. 3. 2. 1. 0. 0. 0. 0. 0. 0.],[3. 3. 3. 3. 0. 0. 0. 0. 0. 0. 0.],[4. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0.],[4. 2. 1. 1. 1. 1. 1. 1. 0. 0. 0.],[4. 2. 2. 1. 1. 1. 1. 0. 0. 0. 0.],[4. 2. 2. 2. 1. 1. 0. 0. 0. 0. 0.],[4. 2. 2. 2. 2. 0. 0. 0. 0. 0. 0.],[4. 3. 1. 1. 1. 1. 1. 0. 0. 0. 0.],[4. 3. 2. 1. 1. 1. 0. 0. 0. 0. 0.],[4. 3. 2. 2. 1. 0. 0. 0. 0. 0. 0.],[4. 3. 3. 1. 1. 0. 0. 0. 0. 0. 0.],[4. 3. 3. 2. 0. 0. 0. 0. 0. 0. 0.],[4. 4. 1. 1. 1. 1. 0. 0. 0. 0. 0.],[4. 4. 2. 1. 1. 0. 0. 0. 0. 0. 0.],[4. 4. 2. 2. 0. 0. 0. 0. 0. 0. 0.],[4. 4. 3. 1. 0. 0. 0. 0. 0. 0. 0.],[4. 4. 4. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0.],[5. 2. 1. 1. 1. 1. 1. 0. 0. 0. 0.],[5. 2. 2. 1. 1. 1. 0. 0. 0. 0. 0.],[5. 2. 2. 2. 1. 0. 0. 0. 0. 0. 0.],[5. 3. 1. 1. 1. 1. 0. 0. 0. 0. 0.],[5. 3. 2. 1. 1. 0. 0. 0. 0. 0. 0.],[5. 3. 2. 2. 0. 0. 0. 0. 0. 0. 0.],[5. 3. 3. 1. 0. 0. 0. 0. 0. 0. 0.],[5. 4. 1. 1. 1. 0. 0. 0. 0. 0. 0.],[5. 4. 2. 1. 0. 0. 0. 0. 0. 0. 0.],[5. 4. 3. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 5. 1. 1. 0. 0. 0. 0. 0. 0. 0.],[5. 5. 2. 0. 0. 0. 0. 0. 0. 0. 0.],[6. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0.],[6. 2. 1. 1. 1. 1. 0. 0. 0. 0. 0.],[6. 2. 2. 1. 1. 0. 0. 0. 0. 0. 0.],[6. 2. 2. 2. 0. 0. 0. 0. 0. 0. 0.],[6. 3. 1. 1. 1. 0. 0. 0. 0. 0. 0.],[6. 3. 2. 1. 0. 0. 0. 0. 0. 0. 0.],[6. 3. 3. 0. 0. 0. 0. 0. 0. 0. 0.],[6. 4. 1. 1. 0. 0. 0. 0. 0. 0. 0.],[6. 4. 2. 0. 0. 0. 0. 0. 0. 0. 0.],[6. 5. 1. 0. 0. 0. 0. 0. 0. 0. 0.],[6. 6. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[7. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0.],[7. 2. 1. 1. 1. 0. 0. 0. 0. 0. 0.],[7. 2. 2. 1. 0. 0. 0. 0. 0. 0. 0.],[7. 3. 1. 1. 0. 0. 0. 0. 0. 0. 0.],[7. 3. 2. 0. 0. 0. 0. 0. 0. 0. 0.],[7. 4. 1. 0. 0. 0. 0. 0. 0. 0. 0.],[7. 5. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[8. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0.],[8. 2. 1. 1. 0. 0. 0. 0. 0. 0. 0.],[8. 2. 2. 0. 0. 0. 0. 0. 0. 0. 0.],[8. 3. 1. 0. 0. 0. 0. 0. 0. 0. 0.],[8. 4. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[9. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0.],[9. 2. 1. 0. 0. 0. 0. 0. 0. 0. 0.],[9. 3. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[10.  1.  1.  0.  0.  0.  0.  0.  0.  0.  0.],[10.  2.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[11.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[12.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]
[2. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],-0.0,0.0,0.0,0.0,0.0,-0.45454545454545453,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.18181818181818182,1.0,0.2727272727272727,1.0,1.0,0.0,0.0,0.0,0.18181818181818182,1.0,0.0,0.2727272727272727,1.0,1.0,1.0,0.36363636363636365,1.0,1.0,1.0,1.0,0.0,0.0,0.2727272727272727,1.0,0.36363636363636365,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.36363636363636365,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.45454545454545453,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[2. 2. 1. 1. 1. 1. 1. 1. 1. 1. 0.],-0.0,-0.0,0.0,0.0,-0.030303030303030304,-0.18181818181818182,0.0,0.0,0.0,0.030303030303030304,0.06060606060606061,0.0,0.06060606060606061,0.18383838383838383,0.45454545454545453,0.2787878787878788,0.5636363636363636,1.0,0.0,0.0,0.06060606060606061,0.18383838383838383,0.45454545454545453,0.10101010101010101,0.2787878787878788,0.5636363636363636,0.6606060606060606,1.0,0.37575757575757573,0.6606060606060606,1.0,1.0,1.0,0.0,0.10101010101010101,0.2787878787878788,0.5636363636363636,0.37575757575757573,0.6606060606060606,1.0,1.0,0.7454545454545455,1.0,1.0,1.0,1.0,0.15151515151515152,0.37575757575757573,0.6606060606060606,1.0,0.7454545454545455,1.0,1.0,1.0,1.0,1.0,1.0,0.47474747474747475,0.7454545454545455,1.0,1.0,1.0,1.0,1.0,0.8181818181818182,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[2. 2. 2. 1. 1. 1. 1. 1. 1. 0. 0.],-0.0,-0.0,-0.0,-0.004329004329004329,-0.02077922077922078,-0.06060606060606061,0.0,0.0,0.021645021645021644,0.03333333333333333,0.030303030303030304,0.04329004329004329,0.09437229437229437,0.13484848484848486,0.18181818181818182,0.24177489177489178,0.32727272727272727,0.6181818181818182,0.0,0.04329004329004329,0.09437229437229437,0.1380952380952381,0.18181818181818182,0.16017316017316016,0.24177489177489178,0.32727272727272727,0.4681818181818182,0.6181818181818182,0.354978354978355,0.4681818181818182,0.6181818181818182,0.7454545454545455,1.0,0.07575757575757576,0.16017316017316016,0.24177489177489178,0.32727272727272727,0.354978354978355,0.4681818181818182,0.6181818181818182,0.7454545454545455,0.6006493506493507,0.7454545454545455,1.0,0.8409090909090909,1.0,0.24458874458874458,0.354978354978355,0.4681818181818182,0.6181818181818182,0.6006493506493507,0.7454545454545455,1.0,0.8409090909090909,1.0,1.0,1.0,0.47835497835497837,0.6006493506493507,0.7454545454545455,0.8409090909090909,1.0,1.0,1.0,0.7207792207792207,0.8409090909090909,1.0,1.0,1.0,0.9090909090909091,1.0,1.0,1.0,1.0,1.0,1.0
[2. 2. 2. 2. 1. 1. 1. 1. 0. 0. 0.],-0.0,-0.0,0.004329004329004329,-0.0,-0.008225108225108226,-0.015151515151515152,0.0,0.030303030303030304,0.0329004329004329,0.024675324675324677,0.010822510822510822,0.09437229437229437,0.09220779220779221,0.07922077922077922,0.06060606060606061,0.18658008658008657,0.1696969696969697,0.2787878787878788,0.06060606060606061,0.09437229437229437,0.09913419913419913,0.08787878787878788,0.06060606060606061,0.19264069264069264,0.18961038961038962,0.1696969696969697,0.31385281385281383,0.2787878787878788,0.3225108225108225,0.31385281385281383,0.2787878787878788,0.4696969696969697,0.6606060606060606,0.1696969696969697,0.19264069264069264,0.19134199134199134,0.1696969696969697,0.3225108225108225,0.31385281385281383,0.2787878787878788,0.4696969696969697,0.47835497835497837,0.4696969696969697,0.6606060606060606,0.6515151515151515,0.6606060606060606,0.31385281385281383,0.3225108225108225,0.31385281385281383,0.2787878787878788,0.47835497835497837,0.4696969696969697,0.6606060606060606,0.6515151515151515,0.6606060606060606,0.8303030303030303,1.0,0.47835497835497837,0.47835497835497837,0.4696969696969697,0.6515151515151515,0.6606060606060606,0.8303030303030303,1.0,0.6471861471861472,0.6515151515151515,0.6606060606060606,0.8303030303030303,1.0,0.803030303030303,0.8303030303030303,1.0,0.9272727272727272,1.0,1.0,1.0
[2. 2. 2. 2. 2. 1. 1. 0. 0. 0. 0.],-0.0,0.030303030303030304,0.02077922077922078,0.008225108225108226,-0.0,-0.0021645021645021645,0.09090909090909091,0.05757575757575758,0.031313131313131314,0.012554112554112554,0.0021645021645021645,0.09696969696969697,0.05844155844155844,0.03088023088023088,0.015151515151515152,0.10779220779220779,0.0670995670995671,0.08787878787878788,0.18383838383838383,0.12943722943722943,0.08297258297258298,0.04386724386724387,0.015151515151515152,0.18888888888888888,0.12294372294372294,0.0670995670995671,0.17532467532467533,0.08787878787878788,0.2696969696969697,0.17532467532467533,0.08787878787878788,0.22424242424242424,0.2787878787878788,0.2787878787878788,0.1997113997113997,0.12943722943722943,0.0670995670995671,0.2696969696969697,0.17532467532467533,0.08787878787878788,0.22424242424242424,0.3484848484848485,0.22424242424242424,0.2787878787878788,0.4313131313131313,0.2787878787878788,0.37575757575757573,0.27186147186147186,0.17532467532467533,0.08787878787878788,0.3484848484848485,0.22424242424242424,0.2787878787878788,0.4313131313131313,0.2787878787878788,0.5212121212121212,0.6181818181818182,0.47474747474747475,0.3484848484848485,0.22424242424242424,0.4313131313131313,0.2787878787878788,0.5212121212121212,0.6181818181818182,0.5757575757575758,0.4313131313131313,0.2787878787878788,0.5212121212121212,0.6181818181818182,0.6787878787878788,0.5212121212121212,0.6181818181818182,0.7838383838383839,0.6181818181818182,0.8909090909090909,1.0
[2. 2. 2. 2. 2. 2. 0. 0. 0. 0. 0.],0.45454545454545453,0.18181818181818182,0.06060606060606061,0.015151515151515152,0.0021645021645021645,-0.0,0.18181818181818182,0.06060606060606061,0.015151515151515152,0.0021645021645021645,0.0,0.006493506493506494,-0.006493506493506494,0.0,0.0021645021645021645,0.0,0.015151515151515152,0.015151515151515152,0.3333333333333333,0.13636363636363635,0.047619047619047616,0.012987012987012988,0.0021645021645021645,0.11471861471861472,0.045454545454545456,0.015151515151515152,0.06060606060606061,0.015151515151515152,0.16666666666666666,0.06060606060606061,0.015151515151515152,0.06060606060606061,0.06060606060606061,0.4090909090909091,0.16883116883116883,0.05844155844155844,0.015151515151515152,0.16666666666666666,0.06060606060606061,0.015151515151515152,0.06060606060606061,0.18181818181818182,0.06060606060606061,0.06060606060606061,0.18181818181818182,0.06060606060606061,0.44155844155844154,0.17965367965367965,0.06060606060606061,0.015151515151515152,0.18181818181818182,0.06060606060606061,0.06060606060606061,0.18181818181818182,0.06060606060606061,0.18181818181818182,0.18181818181818182,0.4523809523809524,0.18181818181818182,0.06060606060606061,0.18181818181818182,0.06060606060606061,0.18181818181818182,0.18181818181818182,0.45454545454545453,0.18181818181818182,0.06060606060606061,0.18181818181818182,0.18181818181818182,0.45454545454545453,0.18181818181818182,0.18181818181818182,0.45454545454545453,0.18181818181818182,0.45454545454545453,0.45454545454545453
[3. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0.],-0.0,-0.0,-0.0,-0.0,-0.09090909090909091,-0.18181818181818182,-0.0,0.0,0.0,0.0,0.18181818181818182,0.0,0.0,0.18181818181818182,0.6181818181818182,0.13636363636363635,0.5636363636363636,1.0,0.0,0.0,0.0,0.22727272727272727,0.6727272727272727,0.0,0.18181818181818182,0.6181818181818182,0.5636363636363636,1.0,0.18181818181818182,0.6181818181818182,1.0,1.0,1.0,0.0,0.0,0.22727272727272727,0.6727272727272727,0.18181818181818182,0.6181818181818182,1.0,1.0,0.6181818181818182,1.0,1.0,1.0,1.0,0.0,0.22727272727272727,0.6727272727272727,1.0,0.6181818181818182,1.0,1.0,1.0,1.0,1.0,1.0,0.22727272727272727,0.6727272727272727,1.0,1.0,1.0,1.0,1.0,0.6727272727272727,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[3. 2. 1. 1. 1. 1. 1. 1. 1. 0. 0.],-0.0,-0.0,-0.0,-0.030303030303030304,-0.05757575757575758,-0.06060606060606061,-0.0,-0.0,0.0,0.01893939393939394,0.08484848484848485,0.0,0.04040404040404041,0.13484848484848486,0.32727272727272727,0.14242424242424243,0.32651515151515154,0.6181818181818182,0.0,0.0,0.050505050505050504,0.1621212121212121,0.37575757575757573,0.050505050505050504,0.17323232323232324,0.37424242424242427,0.37424242424242427,0.6606060606060606,0.20404040404040405,0.4212121212121212,0.703030303030303,0.703030303030303,1.0,0.0,0.06313131313131314,0.20404040404040405,0.421969696969697,0.20404040404040405,0.4212121212121212,0.703030303030303,0.703030303030303,0.4681818181818182,0.7401515151515151,1.0,0.7772727272727272,1.0,0.07575757575757576,0.2383838383838384,0.4681818181818182,0.7454545454545455,0.4681818181818182,0.7401515151515151,1.0,0.7772727272727272,1.0,1.0,1.0,0.2727272727272727,0.5143939393939394,0.7772727272727272,0.7772727272727272,1.0,1.0,1.0,0.5606060606060606,0.8090909090909091,1.0,1.0,1.0,0.8409090909090909,1.0,1.0,1.0,1.0,1.0,1.0
[3. 2. 2. 1. 1. 1. 1. 1. 0. 0. 0.],-0.0,-0.0,-0.021645021645021644,-0.0329004329004329,-0.031313131313131314,-0.015151515151515152,-0.0,-0.0,-0.0,0.012121212121212121,0.03766233766233766,0.021645021645021644,0.047186147186147186,0.08383838383838384,0.14242424242424243,0.11515151515151516,0.17554112554112555,0.2787878787878788,0.0,0.027056277056277056,0.06147186147186147,0.10595238095238095,0.1696969696969697,0.08225108225108226,0.14025974025974025,0.20865800865800865,0.24177489177489178,0.32651515151515154,0.19264069264069264,0.2795093795093795,0.37424242424242427,0.421969696969697,0.6606060606060606,0.03787878787878788,0.09884559884559885,0.16590909090909092,0.24177489177489178,0.19264069264069264,0.2795093795093795,0.37424242424242427,0.421969696969697,0.354978354978355,0.4681818181818182,0.6606060606060606,0.5606060606060606,0.703030303030303,0.13203463203463203,0.22294372294372294,0.3172438672438672,0.421969696969697,0.354978354978355,0.4681818181818182,0.6606060606060606,0.5606060606060606,0.703030303030303,0.7878787878787878,1.0,0.28354978354978355,0.3961038961038961,0.5143939393939394,0.5606060606060606,0.703030303030303,0.7878787878787878,1.0,0.47835497835497837,0.6035353535353535,0.7454545454545455,0.7878787878787878,1.0,0.6893939393939394,0.8181818181818182,1.0,0.8787878787878788,1.0,1.0,1.0
[3. 2. 2. 2. 1. 1. 1. 0. 0. 0. 0.],-0.0,-0.030303030303030304,-0.03333333333333333,-0.024675324675324677,-0.012554112554112554,-0.0021645021645021645,-0.0,-0.01893939393939394,-0.012121212121212121,-0.0,0.012121212121212121,0.013852813852813853,0.024242424242424242,0.03636363636363636,0.04632034632034632,0.0670995670995671,0.07554112554112555,0.08787878787878788,0.030303030303030304,0.03722943722943723,0.048917748917748916,0.05714285714285714,0.05670995670995671,0.08138528138528138,0.09134199134199134,0.09437229437229437,0.13203463203463203,0.11515151515151516,0.15714285714285714,0.16017316017316016,0.14242424242424243,0.19696969696969696,0.2787878787878788,0.08787878787878788,0.10670995670995671,0.11601731601731602,0.11320346320346321,0.15757575757575756,0.16017316017316016,0.14242424242424243,0.19696969696969696,0.24458874458874458,0.23484848484848486,0.2787878787878788,0.3484848484848485,0.32727272727272727,0.1696969696969697,0.18701298701298702,0.18831168831168832,0.1696969696969697,0.24458874458874458,0.23484848484848486,0.2787878787878788,0.3484848484848485,0.32727272727272727,0.4727272727272727,0.6181818181818182,0.2727272727272727,0.2819264069264069,0.2727272727272727,0.3484848484848485,0.32727272727272727,0.4727272727272727,0.6181818181818182,0.3939393939393939,0.3939393939393939,0.37575757575757573,0.4727272727272727,0.6181818181818182,0.5303030303030303,0.5242424242424243,0.6181818181818182,0.6787878787878788,0.6727272727272727,0.8363636363636363,1.0
