,[4. 4. 3.],[5. 3. 3.],[5. 4. 2.],[5. 5. 1.],[6. 3. 2.],[6. 4. 1.],[6. 5. 0.],[7. 2. 2.],[7. 3. 1.],[7. 4. 0.],[8. 2. 1.],[8. 3. 0.],[9. 1. 1.],[9. 2. 0.],[10.  1.  0.],[11.  0.  0.]
[4. 4. 3.],0.0,0.3333333333333333,-0.3333333333333333,-1.0,0.6666666666666666,-0.3333333333333333,-1.0,1.0,0.6666666666666666,-0.3333333333333333,1.0,0.6666666666666666,1.0,1.0,1.0,1.0
[5. 3. 3.],-0.3333333333333333,0.0,-0.0,-0.3333333333333333,0.3333333333333333,-0.3333333333333333,-0.6666666666666666,1.0,0.3333333333333333,-0.3333333333333333,1.0,0.3333333333333333,1.0,1.0,1.0,1.0
[5. 4. 2.],0.3333333333333333,0.0,0.0,-0.3333333333333333,-0.0,-0.0,-0.6666666666666666,0.3333333333333333,0.3333333333333333,-0.0,0.6666666666666666,0.3333333333333333,1.0,0.6666666666666666,1.0,1.0
[5. 5. 1.],1.0,0.3333333333333333,0.3333333333333333,0.0,-0.3333333333333333,-0.0,-0.3333333333333333,-0.3333333333333333,-0.0,0.3333333333333333,-0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0
[6. 3. 2.],-0.6666666666666666,-0.3333333333333333,0.0,0.3333333333333333,0.0,-0.0,-0.0,0.3333333333333333,-0.0,-0.3333333333333333,0.6666666666666666,-0.0,1.0,0.6666666666666666,1.0,1.0
[6. 4. 1.],0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,-0.0,-0.3333333333333333,-0.0,-0.0,-0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0
[6. 5. 0.],1.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,-0.3333333333333333,-0.3333333333333333,-0.0,-0.3333333333333333,-0.0,-0.3333333333333333,-0.0,-0.0,0.3333333333333333
[7. 2. 2.],-1.0,-1.0,-0.3333333333333333,0.3333333333333333,-0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,-0.0,-0.0,0.3333333333333333,-0.3333333333333333,1.0,0.3333333333333333,1.0,1.0
[7. 3. 1.],-0.6666666666666666,-0.3333333333333333,-0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,-0.0,-0.0,-0.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0
[7. 4. 0.],0.3333333333333333,0.3333333333333333,0.0,-0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,-0.3333333333333333,-0.0,-0.3333333333333333,-0.0,-0.0,0.3333333333333333
[8. 2. 1.],-1.0,-1.0,-0.6666666666666666,0.0,-0.6666666666666666,0.0,0.3333333333333333,-0.3333333333333333,0.0,0.3333333333333333,0.0,-0.0,0.3333333333333333,-0.0,0.6666666666666666,1.0
[8. 3. 0.],-0.6666666666666666,-0.3333333333333333,-0.3333333333333333,-0.3333333333333333,0.0,-0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,-0.3333333333333333,-0.0,-0.0,0.3333333333333333
[9. 1. 1.],-1.0,-1.0,-1.0,-0.3333333333333333,-1.0,-0.3333333333333333,0.3333333333333333,-1.0,-0.3333333333333333,0.3333333333333333,-0.3333333333333333,0.3333333333333333,0.0,-0.0,0.3333333333333333,1.0
[9. 2. 0.],-1.0,-1.0,-0.6666666666666666,-0.3333333333333333,-0.6666666666666666,-0.3333333333333333,0.0,-0.3333333333333333,-0.3333333333333333,0.0,0.0,0.0,0.0,0.0,-0.0,0.3333333333333333
[10.  1.  0.],-1.0,-1.0,-1.0,-0.6666666666666666,-1.0,-0.6666666666666666,0.0,-1.0,-0.6666666666666666,0.0,-0.6666666666666666,0.0,-0.3333333333333333,0.0,0.0,0.3333333333333333
[11.  0.  0.],-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.3333333333333333,-1.0,-1.0,-0.3333333333333333,-1.0,-0.3333333333333333,-1.0,-0.3333333333333333,-0.3333333333333333,0.0
