,[9. 8. 8.],[9. 9. 7.],[10.  8.  7.],[10.  9.  6.],[10. 10.  5.],[11.  7.  7.],[11.  8.  6.],[11.  9.  5.],[11. 10.  4.],[11. 11.  3.],[12.  7.  6.],[12.  8.  5.],[12.  9.  4.],[12. 10.  3.],[12. 11.  2.],[12. 12.  1.],[13.  6.  6.],[13.  7.  5.],[13.  8.  4.],[13.  9.  3.],[13. 10.  2.],[13. 11.  1.],[13. 12.  0.],[14.  6.  5.],[14.  7.  4.],[14.  8.  3.],[14.  9.  2.],[14. 10.  1.],[14. 11.  0.],[15.  5.  5.],[15.  6.  4.],[15.  7.  3.],[15.  8.  2.],[15.  9.  1.],[15. 10.  0.],[16.  5.  4.],[16.  6.  3.],[16.  7.  2.],[16.  8.  1.],[16.  9.  0.],[17.  4.  4.],[17.  5.  3.],[17.  6.  2.],[17.  7.  1.],[17.  8.  0.],[18.  4.  3.],[18.  5.  2.],[18.  6.  1.],[18.  7.  0.],[19.  3.  3.],[19.  4.  2.],[19.  5.  1.],[19.  6.  0.],[20.  3.  2.],[20.  4.  1.],[20.  5.  0.],[21.  2.  2.],[21.  3.  1.],[21.  4.  0.],[22.  2.  1.],[22.  3.  0.],[23.  1.  1.],[23.  2.  0.],[24.  1.  0.],[25.  0.  0.]
[9. 8. 8.],0.0,-0.3333333333333333,0.3333333333333333,-0.6666666666666666,-1.0,1.0,0.3333333333333333,-0.6666666666666666,-1.0,-1.0,1.0,0.3333333333333333,-0.6666666666666666,-1.0,-1.0,-1.0,1.0,1.0,0.3333333333333333,-0.6666666666666666,-1.0,-1.0,-1.0,1.0,1.0,0.3333333333333333,-0.6666666666666666,-1.0,-1.0,1.0,1.0,1.0,0.3333333333333333,-0.6666666666666666,-1.0,1.0,1.0,1.0,0.3333333333333333,-0.6666666666666666,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[9. 9. 7.],0.3333333333333333,0.0,-0.0,-0.3333333333333333,-1.0,0.3333333333333333,0.3333333333333333,-0.3333333333333333,-1.0,-1.0,0.6666666666666666,0.3333333333333333,-0.3333333333333333,-1.0,-1.0,-1.0,1.0,0.6666666666666666,0.3333333333333333,-0.3333333333333333,-1.0,-1.0,-1.0,1.0,0.6666666666666666,0.3333333333333333,-0.3333333333333333,-1.0,-1.0,1.0,1.0,0.6666666666666666,0.3333333333333333,-0.3333333333333333,-1.0,1.0,1.0,0.6666666666666666,0.3333333333333333,-0.3333333333333333,1.0,1.0,1.0,0.6666666666666666,0.3333333333333333,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[10.  8.  7.],-0.3333333333333333,0.0,0.0,-0.0,-0.3333333333333333,0.3333333333333333,-0.0,-0.3333333333333333,-0.6666666666666666,-1.0,0.6666666666666666,-0.0,-0.3333333333333333,-0.6666666666666666,-1.0,-1.0,1.0,0.6666666666666666,-0.0,-0.3333333333333333,-0.6666666666666666,-1.0,-1.0,1.0,0.6666666666666666,-0.0,-0.3333333333333333,-0.6666666666666666,-1.0,1.0,1.0,0.6666666666666666,-0.0,-0.3333333333333333,-0.6666666666666666,1.0,1.0,0.6666666666666666,-0.0,-0.3333333333333333,1.0,1.0,1.0,0.6666666666666666,-0.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[10.  9.  6.],0.6666666666666666,0.3333333333333333,0.0,0.0,-0.3333333333333333,-0.3333333333333333,-0.0,-0.0,-0.6666666666666666,-1.0,-0.0,0.3333333333333333,-0.0,-0.6666666666666666,-1.0,-1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.0,-0.6666666666666666,-1.0,-1.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,-0.0,-0.6666666666666666,-1.0,1.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,-0.0,-0.6666666666666666,1.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,-0.0,1.0,1.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,1.0,1.0,0.6666666666666666,0.3333333333333333,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[10. 10.  5.],1.0,1.0,0.3333333333333333,0.3333333333333333,0.0,-0.3333333333333333,-0.3333333333333333,-0.0,-0.3333333333333333,-1.0,-0.3333333333333333,-0.0,0.3333333333333333,-0.3333333333333333,-1.0,-1.0,-0.3333333333333333,-0.0,0.3333333333333333,0.3333333333333333,-0.3333333333333333,-1.0,-1.0,-0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.3333333333333333,-1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,1.0,1.0,0.6666666666666666,0.3333333333333333,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[11.  7.  7.],-1.0,-0.3333333333333333,-0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,-0.0,-0.0,-0.0,-0.3333333333333333,0.3333333333333333,-0.3333333333333333,-0.3333333333333333,-0.3333333333333333,-0.6666666666666666,-1.0,1.0,0.3333333333333333,-0.3333333333333333,-0.3333333333333333,-0.3333333333333333,-0.6666666666666666,-1.0,1.0,0.3333333333333333,-0.3333333333333333,-0.3333333333333333,-0.3333333333333333,-0.6666666666666666,1.0,1.0,0.3333333333333333,-0.3333333333333333,-0.3333333333333333,-0.3333333333333333,1.0,1.0,0.3333333333333333,-0.3333333333333333,-0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,-0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[11.  8.  6.],-0.3333333333333333,-0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,-0.0,-0.0,-0.3333333333333333,-0.0,-0.0,-0.3333333333333333,-0.3333333333333333,-0.6666666666666666,-1.0,0.3333333333333333,0.3333333333333333,-0.0,-0.3333333333333333,-0.3333333333333333,-0.6666666666666666,-1.0,0.6666666666666666,0.3333333333333333,-0.0,-0.3333333333333333,-0.3333333333333333,-0.6666666666666666,1.0,0.6666666666666666,0.3333333333333333,-0.0,-0.3333333333333333,-0.3333333333333333,1.0,0.6666666666666666,0.3333333333333333,-0.0,-0.3333333333333333,1.0,1.0,0.6666666666666666,0.3333333333333333,-0.0,1.0,1.0,0.6666666666666666,0.3333333333333333,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[11.  9.  5.],0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,-0.0,-0.3333333333333333,-0.3333333333333333,-0.0,-0.0,-0.3333333333333333,-0.6666666666666666,-1.0,-0.3333333333333333,-0.0,0.3333333333333333,-0.0,-0.3333333333333333,-0.6666666666666666,-1.0,-0.0,0.3333333333333333,0.3333333333333333,-0.0,-0.3333333333333333,-0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.0,-0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.0,1.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,1.0,1.0,0.6666666666666666,0.3333333333333333,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[11. 10.  4.],1.0,1.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,-0.3333333333333333,-0.3333333333333333,-0.3333333333333333,-0.0,-0.0,-0.6666666666666666,-1.0,-0.3333333333333333,-0.3333333333333333,-0.0,0.3333333333333333,-0.0,-0.6666666666666666,-1.0,-0.3333333333333333,-0.0,0.3333333333333333,0.3333333333333333,-0.0,-0.6666666666666666,-0.3333333333333333,-0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.0,-0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,1.0,0.6666666666666666,0.3333333333333333,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0
[11. 11.  3.],1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,-0.3333333333333333,-0.3333333333333333,-0.3333333333333333,-0.0,-0.3333333333333333,-1.0,-0.3333333333333333,-0.3333333333333333,-0.3333333333333333,-0.0,0.3333333333333333,-0.3333333333333333,-1.0,-0.3333333333333333,-0.3333333333333333,-0.0,0.3333333333333333,0.3333333333333333,-0.3333333333333333,-0.3333333333333333,-0.3333333333333333,-0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.3333333333333333,-0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.3333333333333333,-0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,1.0,0.6666666666666666,0.3333333333333333,1.0,0.6666666666666666,1.0,1.0,1.0,1.0
