,[2. 2. 2. 1. 1. 1. 1. 1. 1.],[2. 2. 2. 2. 1. 1. 1. 1. 0.],[2. 2. 2. 2. 2. 1. 1. 0. 0.],[2. 2. 2. 2. 2. 2. 0. 0. 0.],[3. 2. 1. 1. 1. 1. 1. 1. 1.],[3. 2. 2. 1. 1. 1. 1. 1. 0.],[3. 2. 2. 2. 1. 1. 1. 0. 0.],[3. 2. 2. 2. 2. 1. 0. 0. 0.],[3. 3. 1. 1. 1. 1. 1. 1. 0.],[3. 3. 2. 1. 1. 1. 1. 0. 0.],[3. 3. 2. 2. 1. 1. 0. 0. 0.],[3. 3. 2. 2. 2. 0. 0. 0. 0.],[3. 3. 3. 1. 1. 1. 0. 0. 0.],[3. 3. 3. 2. 1. 0. 0. 0. 0.],[3. 3. 3. 3. 0. 0. 0. 0. 0.],[4. 1. 1. 1. 1. 1. 1. 1. 1.],[4. 2. 1. 1. 1. 1. 1. 1. 0.],[4. 2. 2. 1. 1. 1. 1. 0. 0.],[4. 2. 2. 2. 1. 1. 0. 0. 0.],[4. 2. 2. 2. 2. 0. 0. 0. 0.],[4. 3. 1. 1. 1. 1. 1. 0. 0.],[4. 3. 2. 1. 1. 1. 0. 0. 0.],[4. 3. 2. 2. 1. 0. 0. 0. 0.],[4. 3. 3. 1. 1. 0. 0. 0. 0.],[4. 3. 3. 2. 0. 0. 0. 0. 0.],[4. 4. 1. 1. 1. 1. 0. 0. 0.],[4. 4. 2. 1. 1. 0. 0. 0. 0.],[4. 4. 2. 2. 0. 0. 0. 0. 0.],[4. 4. 3. 1. 0. 0. 0. 0. 0.],[4. 4. 4. 0. 0. 0. 0. 0. 0.],[5. 1. 1. 1. 1. 1. 1. 1. 0.],[5. 2. 1. 1. 1. 1. 1. 0. 0.],[5. 2. 2. 1. 1. 1. 0. 0. 0.],[5. 2. 2. 2. 1. 0. 0. 0. 0.],[5. 3. 1. 1. 1. 1. 0. 0. 0.],[5. 3. 2. 1. 1. 0. 0. 0. 0.],[5. 3. 2. 2. 0. 0. 0. 0. 0.],[5. 3. 3. 1. 0. 0. 0. 0. 0.],[5. 4. 1. 1. 1. 0. 0. 0. 0.],[5. 4. 2. 1. 0. 0. 0. 0. 0.],[5. 4. 3. 0. 0. 0. 0. 0. 0.],[5. 5. 1. 1. 0. 0. 0. 0. 0.],[5. 5. 2. 0. 0. 0. 0. 0. 0.],[6. 1. 1. 1. 1. 1. 1. 0. 0.],[6. 2. 1. 1. 1. 1. 0. 0. 0.],[6. 2. 2. 1. 1. 0. 0. 0. 0.],[6. 2. 2. 2. 0. 0. 0. 0. 0.],[6. 3. 1. 1. 1. 0. 0. 0. 0.],[6. 3. 2. 1. 0. 0. 0. 0. 0.],[6. 3. 3. 0. 0. 0. 0. 0. 0.],[6. 4. 1. 1. 0. 0. 0. 0. 0.],[6. 4. 2. 0. 0. 0. 0. 0. 0.],[6. 5. 1. 0. 0. 0. 0. 0. 0.],[6. 6. 0. 0. 0. 0. 0. 0. 0.],[7. 1. 1. 1. 1. 1. 0. 0. 0.],[7. 2. 1. 1. 1. 0. 0. 0. 0.],[7. 2. 2. 1. 0. 0. 0. 0. 0.],[7. 3. 1. 1. 0. 0. 0. 0. 0.],[7. 3. 2. 0. 0. 0. 0. 0. 0.],[7. 4. 1. 0. 0. 0. 0. 0. 0.],[7. 5. 0. 0. 0. 0. 0. 0. 0.],[8. 1. 1. 1. 1. 0. 0. 0. 0.],[8. 2. 1. 1. 0. 0. 0. 0. 0.],[8. 2. 2. 0. 0. 0. 0. 0. 0.],[8. 3. 1. 0. 0. 0. 0. 0. 0.],[8. 4. 0. 0. 0. 0. 0. 0. 0.],[9. 1. 1. 1. 0. 0. 0. 0. 0.],[9. 2. 1. 0. 0. 0. 0. 0. 0.],[9. 3. 0. 0. 0. 0. 0. 0. 0.],[10.  1.  1.  0.  0.  0.  0.  0.  0.],[10.  2.  0.  0.  0.  0.  0.  0.  0.],[11.  1.  0.  0.  0.  0.  0.  0.  0.],[12.  0.  0.  0.  0.  0.  0.  0.  0.]
[2. 2. 2. 1. 1. 1. 1. 1. 1.],0.0,-0.3333333333333333,-0.5833333333333334,-0.7619047619047619,0.6666666666666666,0.3333333333333333,0.011904761904761904,-0.2857142857142857,0.7619047619047619,0.5476190476190477,0.2857142857142857,-0.011904761904761904,0.7619047619047619,0.5833333333333334,1.0,1.0,0.9166666666666666,0.7619047619047619,0.5476190476190477,0.2857142857142857,0.9523809523809523,0.8809523809523809,0.7619047619047619,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9880952380952381,0.9523809523809523,0.8809523809523809,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[2. 2. 2. 2. 1. 1. 1. 1. 0.],0.3333333333333333,0.0,-0.2857142857142857,-0.5476190476190477,0.6111111111111112,0.3412698412698413,0.0873015873015873,-0.17777777777777778,0.5952380952380952,0.38412698412698415,0.16507936507936508,-0.09523809523809523,0.4523809523809524,0.2619047619047619,0.4444444444444444,1.0,0.8571428571428571,0.6825396825396826,0.4936507936507937,0.273015873015873,0.8412698412698413,0.7126984126984127,0.5714285714285714,0.7936507936507936,0.7222222222222222,0.9634920634920635,0.9206349206349206,0.8809523809523809,1.0,1.0,1.0,0.9603174603174603,0.8873015873015873,0.7968253968253968,0.9634920634920635,0.9206349206349206,0.8809523809523809,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9936507936507937,0.9777777777777777,0.9603174603174603,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[2. 2. 2. 2. 2. 1. 1. 0. 0.],0.5833333333333334,0.2857142857142857,0.0,-0.3333333333333333,0.5833333333333334,0.3716931216931217,0.15873015873015872,-0.09126984126984126,0.4444444444444444,0.2724867724867725,0.07671957671957672,-0.19047619047619047,0.20238095238095238,-0.0,-0.1111111111111111,1.0,0.8015873015873016,0.6402116402116402,0.4801587301587302,0.2857142857142857,0.6825396825396826,0.5515873015873016,0.4126984126984127,0.5,0.38492063492063494,0.8571428571428571,0.7870370370370371,0.7486772486772487,0.7817460317460317,1.0,1.0,0.9206349206349206,0.8333333333333334,0.753968253968254,0.8571428571428571,0.7870370370370371,0.7486772486772487,0.7817460317460317,0.9603174603174603,0.9470899470899471,1.0,1.0,1.0,1.0,0.9761904761904762,0.9470899470899471,0.9404761904761905,0.9603174603174603,0.9470899470899471,1.0,1.0,1.0,1.0,1.0,1.0,0.996031746031746,0.9933862433862434,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[2. 2. 2. 2. 2. 2. 0. 0. 0.],0.7619047619047619,0.5476190476190477,0.3333333333333333,0.0,0.5833333333333334,0.40476190476190477,0.2261904761904762,-0.0,0.34523809523809523,0.19047619047619047,-0.0,-0.3333333333333333,-0.0,-0.2261904761904762,-0.5476190476190477,1.0,0.7619047619047619,0.6190476190476191,0.4880952380952381,0.3333333333333333,0.5238095238095238,0.40476190476190477,0.2619047619047619,0.21428571428571427,-0.011904761904761904,0.6904761904761905,0.6190476190476191,0.5833333333333334,0.4642857142857143,0.7619047619047619,1.0,0.8809523809523809,0.7976190476190477,0.75,0.6904761904761905,0.6190476190476191,0.5833333333333334,0.4642857142857143,0.8333333333333334,0.8214285714285714,0.7619047619047619,0.9404761904761905,1.0,1.0,0.9523809523809523,0.9285714285714286,1.0,0.8333333333333334,0.8214285714285714,0.7619047619047619,0.9404761904761905,1.0,1.0,1.0,1.0,0.9880952380952381,1.0,0.9404761904761905,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[3. 2. 1. 1. 1. 1. 1. 1. 1.],-0.6666666666666666,-0.6111111111111112,-0.5833333333333334,-0.5833333333333334,0.0,-0.09722222222222222,-0.16666666666666666,-0.20833333333333334,0.5555555555555556,0.3888888888888889,0.25,0.1388888888888889,0.7916666666666666,0.6666666666666666,1.0,0.7777777777777778,0.5833333333333334,0.4166666666666667,0.2777777777777778,0.16666666666666666,0.875,0.7777777777777778,0.6527777777777778,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9722222222222222,0.9166666666666666,0.8333333333333334,0.7222222222222222,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[3. 2. 2. 1. 1. 1. 1. 1. 0.],-0.3333333333333333,-0.3412698412698413,-0.3716931216931217,-0.40476190476190477,0.09722222222222222,0.0,-0.07738095238095238,-0.14285714285714285,0.3492063492063492,0.24206349206349206,0.15343915343915343,0.07142857142857142,0.47619047619047616,0.39880952380952384,0.7222222222222222,0.6666666666666666,0.49404761904761907,0.37566137566137564,0.27976190476190477,0.19047619047619047,0.6759259259259259,0.5793650793650794,0.49603174603174605,0.794973544973545,0.751984126984127,0.8968253968253969,0.8412698412698413,0.8015873015873016,1.0,1.0,0.9166666666666666,0.8167989417989417,0.7261904761904762,0.6468253968253969,0.9186507936507936,0.8703703703703703,0.8346560846560847,1.0,1.0,1.0,1.0,1.0,1.0,0.9880952380952381,0.9623015873015873,0.9285714285714286,0.9007936507936508,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[3. 2. 2. 2. 1. 1. 1. 0. 0.],-0.011904761904761904,-0.0873015873015873,-0.15873015873015872,-0.2261904761904762,0.16666666666666666,0.07738095238095238,0.0,-0.075,0.21428571428571427,0.14285714285714285,0.07341269841269842,-0.0,0.2125,0.15555555555555556,0.2857142857142857,0.5555555555555556,0.44047619047619047,0.3547619047619048,0.28134920634920635,0.20793650793650795,0.4781746031746032,0.416468253968254,0.3615079365079365,0.5031746031746032,0.48412698412698413,0.707936507936508,0.6658730158730158,0.6428571428571429,0.7817460317460317,1.0,0.8333333333333334,0.7261904761904762,0.6563492063492063,0.6031746031746031,0.753968253968254,0.7166666666666667,0.6984126984126984,0.8214285714285714,0.9119047619047619,0.9007936507936508,1.0,1.0,1.0,0.9523809523809523,0.8992063492063492,0.8634920634920635,0.8492063492063492,0.9285714285714286,0.9186507936507936,1.0,1.0,1.0,1.0,1.0,0.9920634920634921,0.9785714285714285,0.9722222222222222,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[3. 2. 2. 2. 2. 1. 0. 0. 0.],0.2857142857142857,0.17777777777777778,0.09126984126984126,0.0,0.20833333333333334,0.14285714285714285,0.075,0.0,0.12698412698412698,0.06507936507936508,-0.0,-0.0873015873015873,-0.0,-0.07579365079365079,-0.19047619047619047,0.4444444444444444,0.39880952380952384,0.3412698412698413,0.2908730158730159,0.23809523809523808,0.31746031746031744,0.2698412698412698,0.22777777777777777,0.21349206349206348,0.17261904761904762,0.5,0.4777777777777778,0.4801587301587302,0.4523809523809524,0.7619047619047619,0.7222222222222222,0.6468253968253969,0.6031746031746031,0.5853174603174603,0.5611111111111111,0.5444444444444444,0.5615079365079365,0.5198412698412699,0.7261904761904762,0.746031746031746,0.8015873015873016,0.9007936507936508,0.9603174603174603,0.8809523809523809,0.8277777777777777,0.8119047619047619,0.8392857142857143,0.7674603174603175,0.7896825396825397,0.8412698412698413,0.9007936507936508,0.9603174603174603,1.0,1.0,0.9603174603174603,0.9392857142857143,0.9484126984126984,0.9186507936507936,0.9682539682539683,1.0,1.0,0.9920634920634921,0.9900793650793651,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[3. 3. 1. 1. 1. 1. 1. 1. 0.],-0.7619047619047619,-0.5952380952380952,-0.4444444444444444,-0.34523809523809523,-0.5555555555555556,-0.3492063492063492,-0.21428571428571427,-0.12698412698412698,0.0,0.0873015873015873,0.14285714285714285,0.19047619047619047,0.5476190476190477,0.5238095238095238,0.8809523809523809,-0.1111111111111111,-0.0,0.07142857142857142,0.12698412698412698,0.19047619047619047,0.45634920634920634,0.44047619047619047,0.44047619047619047,0.8253968253968254,0.8015873015873016,0.7698412698412699,0.7222222222222222,0.7023809523809523,1.0,1.0,0.5833333333333334,0.5317460317460317,0.5238095238095238,0.5238095238095238,0.8690476190476191,0.8253968253968254,0.8015873015873016,1.0,1.0,1.0,1.0,1.0,1.0,0.9206349206349206,0.8690476190476191,0.8253968253968254,0.8015873015873016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[3. 3. 2. 1. 1. 1. 1. 0. 0.],-0.5476190476190477,-0.38412698412698415,-0.2724867724867725,-0.19047619047619047,-0.3888888888888889,-0.24206349206349206,-0.14285714285714285,-0.06507936507936508,-0.0873015873015873,0.0,0.07089947089947089,0.13174603174603175,0.24047619047619048,0.3,0.6031746031746031,-0.1111111111111111,-0.003968253968253968,0.06931216931216931,0.12857142857142856,0.18412698412698414,0.23015873015873015,0.28174603174603174,0.32592592592592595,0.5285714285714286,0.5687830687830688,0.4984126984126984,0.5272486772486773,0.5502645502645502,0.794973544973545,1.0,0.4166666666666667,0.43386243386243384,0.45714285714285713,0.48412698412698413,0.6412698412698413,0.653968253968254,0.671957671957672,0.8703703703703703,0.8380952380952381,0.8412698412698413,1.0,1.0,1.0,0.7857142857142857,0.7523809523809524,0.7502645502645503,0.753968253968254,0.9015873015873016,0.8994708994708994,1.0,1.0,1.0,1.0,1.0,0.9563492063492064,0.9333333333333333,0.9285714285714286,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
