,[2. 2. 2. 2. 2. 2. 2. 1.],[3. 2. 2. 2. 2. 2. 1. 1.],[3. 2. 2. 2. 2. 2. 2. 0.],[3. 3. 2. 2. 2. 1. 1. 1.],[3. 3. 2. 2. 2. 2. 1. 0.],[3. 3. 3. 2. 1. 1. 1. 1.],[3. 3. 3. 2. 2. 1. 1. 0.],[3. 3. 3. 2. 2. 2. 0. 0.],[3. 3. 3. 3. 1. 1. 1. 0.],[3. 3. 3. 3. 2. 1. 0. 0.],[3. 3. 3. 3. 3. 0. 0. 0.],[4. 2. 2. 2. 2. 1. 1. 1.],[4. 2. 2. 2. 2. 2. 1. 0.],[4. 3. 2. 2. 1. 1. 1. 1.],[4. 3. 2. 2. 2. 1. 1. 0.],[4. 3. 2. 2. 2. 2. 0. 0.],[4. 3. 3. 1. 1. 1. 1. 1.],[4. 3. 3. 2. 1. 1. 1. 0.],[4. 3. 3. 2. 2. 1. 0. 0.],[4. 3. 3. 3. 1. 1. 0. 0.],[4. 3. 3. 3. 2. 0. 0. 0.],[4. 4. 2. 1. 1. 1. 1. 1.],[4. 4. 2. 2. 1. 1. 1. 0.],[4. 4. 2. 2. 2. 1. 0. 0.],[4. 4. 3. 1. 1. 1. 1. 0.],[4. 4. 3. 2. 1. 1. 0. 0.],[4. 4. 3. 2. 2. 0. 0. 0.],[4. 4. 3. 3. 1. 0. 0. 0.],[4. 4. 4. 1. 1. 1. 0. 0.],[4. 4. 4. 2. 1. 0. 0. 0.],[4. 4. 4. 3. 0. 0. 0. 0.],[5. 2. 2. 2. 1. 1. 1. 1.],[5. 2. 2. 2. 2. 1. 1. 0.],[5. 2. 2. 2. 2. 2. 0. 0.],[5. 3. 2. 1. 1. 1. 1. 1.],[5. 3. 2. 2. 1. 1. 1. 0.],[5. 3. 2. 2. 2. 1. 0. 0.],[5. 3. 3. 1. 1. 1. 1. 0.],[5. 3. 3. 2. 1. 1. 0. 0.],[5. 3. 3. 2. 2. 0. 0. 0.],[5. 3. 3. 3. 1. 0. 0. 0.],[5. 4. 1. 1. 1. 1. 1. 1.],[5. 4. 2. 1. 1. 1. 1. 0.],[5. 4. 2. 2. 1. 1. 0. 0.],[5. 4. 2. 2. 2. 0. 0. 0.],[5. 4. 3. 1. 1. 1. 0. 0.],[5. 4. 3. 2. 1. 0. 0. 0.],[5. 4. 3. 3. 0. 0. 0. 0.],[5. 4. 4. 1. 1. 0. 0. 0.],[5. 4. 4. 2. 0. 0. 0. 0.],[5. 5. 1. 1. 1. 1. 1. 0.],[5. 5. 2. 1. 1. 1. 0. 0.],[5. 5. 2. 2. 1. 0. 0. 0.],[5. 5. 3. 1. 1. 0. 0. 0.],[5. 5. 3. 2. 0. 0. 0. 0.],[5. 5. 4. 1. 0. 0. 0. 0.],[5. 5. 5. 0. 0. 0. 0. 0.],[6. 2. 2. 1. 1. 1. 1. 1.],[6. 2. 2. 2. 1. 1. 1. 0.],[6. 2. 2. 2. 2. 1. 0. 0.],[6. 3. 1. 1. 1. 1. 1. 1.],[6. 3. 2. 1. 1. 1. 1. 0.],[6. 3. 2. 2. 1. 1. 0. 0.],[6. 3. 2. 2. 2. 0. 0. 0.],[6. 3. 3. 1. 1. 1. 0. 0.],[6. 3. 3. 2. 1. 0. 0. 0.],[6. 3. 3. 3. 0. 0. 0. 0.],[6. 4. 1. 1. 1. 1. 1. 0.],[6. 4. 2. 1. 1. 1. 0. 0.],[6. 4. 2. 2. 1. 0. 0. 0.],[6. 4. 3. 1. 1. 0. 0. 0.],[6. 4. 3. 2. 0. 0. 0. 0.],[6. 4. 4. 1. 0. 0. 0. 0.],[6. 5. 1. 1. 1. 1. 0. 0.],[6. 5. 2. 1. 1. 0. 0. 0.],[6. 5. 2. 2. 0. 0. 0. 0.],[6. 5. 3. 1. 0. 0. 0. 0.],[6. 5. 4. 0. 0. 0. 0. 0.],[6. 6. 1. 1. 1. 0. 0. 0.],[6. 6. 2. 1. 0. 0. 0. 0.],[6. 6. 3. 0. 0. 0. 0. 0.],[7. 2. 1. 1. 1. 1. 1. 1.],[7. 2. 2. 1. 1. 1. 1. 0.],[7. 2. 2. 2. 1. 1. 0. 0.],[7. 2. 2. 2. 2. 0. 0. 0.],[7. 3. 1. 1. 1. 1. 1. 0.],[7. 3. 2. 1. 1. 1. 0. 0.],[7. 3. 2. 2. 1. 0. 0. 0.],[7. 3. 3. 1. 1. 0. 0. 0.],[7. 3. 3. 2. 0. 0. 0. 0.],[7. 4. 1. 1. 1. 1. 0. 0.],[7. 4. 2. 1. 1. 0. 0. 0.],[7. 4. 2. 2. 0. 0. 0. 0.],[7. 4. 3. 1. 0. 0. 0. 0.],[7. 4. 4. 0. 0. 0. 0. 0.],[7. 5. 1. 1. 1. 0. 0. 0.],[7. 5. 2. 1. 0. 0. 0. 0.],[7. 5. 3. 0. 0. 0. 0. 0.],[7. 6. 1. 1. 0. 0. 0. 0.],[7. 6. 2. 0. 0. 0. 0. 0.],[7. 7. 1. 0. 0. 0. 0. 0.],[8. 1. 1. 1. 1. 1. 1. 1.],[8. 2. 1. 1. 1. 1. 1. 0.],[8. 2. 2. 1. 1. 1. 0. 0.],[8. 2. 2. 2. 1. 0. 0. 0.],[8. 3. 1. 1. 1. 1. 0. 0.],[8. 3. 2. 1. 1. 0. 0. 0.],[8. 3. 2. 2. 0. 0. 0. 0.],[8. 3. 3. 1. 0. 0. 0. 0.],[8. 4. 1. 1. 1. 0. 0. 0.],[8. 4. 2. 1. 0. 0. 0. 0.],[8. 4. 3. 0. 0. 0. 0. 0.],[8. 5. 1. 1. 0. 0. 0. 0.],[8. 5. 2. 0. 0. 0. 0. 0.],[8. 6. 1. 0. 0. 0. 0. 0.],[8. 7. 0. 0. 0. 0. 0. 0.],[9. 1. 1. 1. 1. 1. 1. 0.],[9. 2. 1. 1. 1. 1. 0. 0.],[9. 2. 2. 1. 1. 0. 0. 0.],[9. 2. 2. 2. 0. 0. 0. 0.],[9. 3. 1. 1. 1. 0. 0. 0.],[9. 3. 2. 1. 0. 0. 0. 0.],[9. 3. 3. 0. 0. 0. 0. 0.],[9. 4. 1. 1. 0. 0. 0. 0.],[9. 4. 2. 0. 0. 0. 0. 0.],[9. 5. 1. 0. 0. 0. 0. 0.],[9. 6. 0. 0. 0. 0. 0. 0.],[10.  1.  1.  1.  1.  1.  0.  0.],[10.  2.  1.  1.  1.  0.  0.  0.],[10.  2.  2.  1.  0.  0.  0.  0.],[10.  3.  1.  1.  0.  0.  0.  0.],[10.  3.  2.  0.  0.  0.  0.  0.],[10.  4.  1.  0.  0.  0.  0.  0.],[10.  5.  0.  0.  0.  0.  0.  0.],[11.  1.  1.  1.  1.  0.  0.  0.],[11.  2.  1.  1.  0.  0.  0.  0.],[11.  2.  2.  0.  0.  0.  0.  0.],[11.  3.  1.  0.  0.  0.  0.  0.],[11.  4.  0.  0.  0.  0.  0.  0.],[12.  1.  1.  1.  0.  0.  0.  0.],[12.  2.  1.  0.  0.  0.  0.  0.],[12.  3.  0.  0.  0.  0.  0.  0.],[13.  1.  1.  0.  0.  0.  0.  0.],[13.  2.  0.  0.  0.  0.  0.  0.],[14.  1.  0.  0.  0.  0.  0.  0.],[15.  0.  0.  0.  0.  0.  0.  0.]
[2. 2. 2. 2. 2. 2. 2. 1.],0.0,0.125,-0.75,0.25,-0.625,0.375,-0.5,-1.0,-0.375,-1.0,-1.0,1.0,0.25,1.0,0.375,-0.5,1.0,0.5,-0.375,-0.25,-1.0,1.0,1.0,0.5,1.0,0.625,-0.25,-0.125,1.0,0.75,-0.0,1.0,1.0,0.375,1.0,1.0,0.5,1.0,0.625,-0.25,-0.125,1.0,1.0,1.0,0.625,1.0,0.75,-0.0,1.0,0.875,1.0,1.0,1.0,1.0,0.875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.625,1.0,0.75,-0.0,1.0,1.0,1.0,1.0,0.875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[3. 2. 2. 2. 2. 2. 1. 1.],-0.125,0.0,-0.5357142857142857,0.10714285714285714,-0.40476190476190477,0.21428571428571427,-0.30357142857142855,-0.7142857142857143,-0.21428571428571427,-0.6726190476190477,-1.0,0.6071428571428571,0.09523809523809523,0.6726190476190477,0.19047619047619047,-0.26785714285714285,0.7619047619047619,0.30357142857142855,-0.19047619047619047,-0.10714285714285714,-0.6071428571428571,1.0,0.7142857142857143,0.26785714285714285,0.8214285714285714,0.40476190476190477,-0.09523809523809523,-0.0,0.8928571428571429,0.5357142857142857,0.125,1.0,0.7023809523809523,0.2857142857142857,1.0,0.7738095238095238,0.375,0.8571428571428571,0.49404761904761907,0.023809523809523808,0.125,1.0,1.0,0.8214285714285714,0.44642857142857145,0.9107142857142857,0.6011904761904762,0.25,0.9642857142857143,0.75,1.0,1.0,0.9047619047619048,0.9702380952380952,0.7857142857142857,1.0,1.0,1.0,1.0,0.7857142857142857,1.0,1.0,0.8571428571428571,0.5357142857142857,0.9285714285714286,0.6666666666666666,0.375,1.0,1.0,0.9047619047619048,0.9702380952380952,0.7857142857142857,1.0,1.0,1.0,0.9642857142857143,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8571428571428571,1.0,1.0,0.9226190476190477,0.9761904761904762,0.8214285714285714,1.0,1.0,0.9642857142857143,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9702380952380952,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[3. 2. 2. 2. 2. 2. 2. 0.],0.75,0.5357142857142857,0.0,0.35714285714285715,-0.10714285714285714,0.21428571428571427,-0.17857142857142858,-0.7321428571428571,-0.21428571428571427,-0.7142857142857143,-1.0,0.8392857142857143,0.5357142857142857,0.7142857142857143,0.375,-0.125,0.5535714285714286,0.25,-0.19642857142857142,-0.23214285714285715,-0.7678571428571429,1.0,0.7321428571428571,0.39285714285714285,0.5714285714285714,0.2857142857142857,-0.25,-0.2857142857142857,0.625,0.32142857142857145,-0.375,1.0,0.8928571428571429,0.6607142857142857,1.0,0.7857142857142857,0.5,0.6428571428571429,0.375,-0.125,-0.17857142857142858,1.0,1.0,0.8214285714285714,0.5178571428571429,0.6785714285714286,0.4107142857142857,-0.25,0.75,0.44642857142857145,1.0,1.0,0.9107142857142857,0.7857142857142857,0.5357142857142857,0.875,1.0,1.0,1.0,0.9464285714285714,1.0,1.0,0.8571428571428571,0.625,0.7321428571428571,0.5,-0.125,1.0,1.0,0.9107142857142857,0.7857142857142857,0.5357142857142857,0.875,1.0,1.0,1.0,0.8928571428571429,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9285714285714286,0.8214285714285714,0.625,1.0,1.0,1.0,0.8928571428571429,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9107142857142857,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[3. 3. 2. 2. 2. 1. 1. 1.],-0.25,-0.10714285714285714,-0.35714285714285715,0.0,-0.2642857142857143,0.10714285714285714,-0.18571428571428572,-0.40535714285714286,-0.10714285714285714,-0.37142857142857144,-0.6428571428571429,0.26785714285714285,-0.0,0.37142857142857144,0.08214285714285714,-0.15,0.5178571428571429,0.18571428571428572,-0.08214285714285714,-0.0,-0.26785714285714285,0.7142857142857143,0.40535714285714286,0.15,0.5857142857142857,0.2642857142857143,-0.0,0.10714285714285714,0.6964285714285714,0.35714285714285715,0.25,0.75,0.4785714285714286,0.23214285714285715,0.8392857142857143,0.5767857142857142,0.32142857142857145,0.7214285714285714,0.44285714285714284,0.17857142857142858,0.32142857142857145,1.0,0.85,0.6071428571428571,0.375,0.7892857142857143,0.5178571428571429,0.4642857142857143,0.8928571428571429,0.625,1.0,0.9357142857142857,0.7678571428571429,0.9285714285714286,0.7321428571428571,1.0,1.0,1.0,0.8357142857142857,0.6392857142857142,1.0,0.9142857142857143,0.7321428571428571,0.525,0.8660714285714286,0.6571428571428571,0.6428571428571429,1.0,0.9357142857142857,0.7678571428571429,0.9285714285714286,0.7321428571428571,1.0,1.0,0.9821428571428571,0.8928571428571429,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9017857142857143,0.7571428571428571,1.0,0.9625,0.8464285714285714,0.9571428571428572,0.8214285714285714,1.0,0.9821428571428571,0.8928571428571429,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.95,1.0,0.9892857142857143,0.9285714285714286,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9821428571428571,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[3. 3. 2. 2. 2. 2. 1. 0.],0.625,0.40476190476190477,0.10714285714285714,0.2642857142857143,0.0,0.15714285714285714,-0.0869047619047619,-0.37142857142857144,-0.15714285714285714,-0.44285714285714284,-0.8214285714285714,0.5821428571428572,0.34523809523809523,0.4714285714285714,0.25,-0.0,0.36904761904761907,0.16428571428571428,-0.08571428571428572,-0.15714285714285714,-0.46785714285714286,0.6726190476190477,0.46190476190476193,0.2392857142857143,0.38095238095238093,0.16904761904761906,-0.09523809523809523,-0.17857142857142858,0.4107142857142857,0.17857142857142858,-0.25,0.8714285714285714,0.6976190476190476,0.5,0.7976190476190477,0.6154761904761905,0.42023809523809524,0.5333333333333333,0.34285714285714286,0.10119047619047619,0.017857142857142856,1.0,0.7857142857142857,0.6166666666666667,0.4142857142857143,0.5535714285714286,0.35833333333333334,-0.011904761904761904,0.6071428571428571,0.39285714285714285,1.0,0.875,0.7523809523809524,0.7142857142857143,0.5595238095238095,0.8035714285714286,1.0,1.0,0.9142857142857143,0.794047619047619,1.0,0.8666666666666667,0.7380952380952381,0.5785714285714286,0.6785714285714286,0.5214285714285715,0.21428571428571427,1.0,0.875,0.7523809523809524,0.7142857142857143,0.5595238095238095,0.8035714285714286,1.0,0.9404761904761905,0.8690476190476191,0.8630952380952381,1.0,1.0,0.9821428571428571,1.0,1.0,1.0,0.95,0.8714285714285714,1.0,0.9214285714285714,0.8392857142857143,0.8047619047619048,0.7,1.0,0.9404761904761905,0.8690476190476191,0.8630952380952381,1.0,1.0,0.9821428571428571,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9785714285714285,1.0,0.9619047619047619,0.919047619047619,0.9119047619047619,1.0,0.9821428571428571,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9880952380952381,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[3. 3. 3. 2. 1. 1. 1. 1.],-0.375,-0.21428571428571427,-0.21428571428571427,-0.10714285714285714,-0.15714285714285714,0.0,-0.08928571428571429,-0.15,-0.0,-0.08928571428571429,-0.10714285714285714,-0.0,-0.07142857142857142,0.08928571428571429,-0.0,-0.06428571428571428,0.25,0.08928571428571429,-0.0,0.10714285714285714,-0.0,0.26785714285714285,0.15,0.06428571428571428,0.32142857142857145,0.15714285714285714,0.07142857142857142,0.21428571428571427,0.42857142857142855,0.21428571428571427,0.375,0.42142857142857143,0.3,0.21428571428571427,0.5714285714285714,0.4035714285714286,0.2892857142857143,0.6071428571428571,0.41785714285714287,0.3,0.5071428571428571,0.7857142857142857,0.5678571428571428,0.42857142857142855,0.32142857142857145,0.6642857142857143,0.4642857142857143,0.6428571428571429,0.7857142857142857,0.5,0.9285714285714286,0.7857142857142857,0.6428571428571429,0.8928571428571429,0.7142857142857143,1.0,1.0,0.7857142857142857,0.6392857142857142,0.5142857142857142,0.9464285714285714,0.7785714285714286,0.6321428571428571,0.5142857142857142,0.8357142857142857,0.6714285714285714,0.8214285714285714,0.9285714285714286,0.7857142857142857,0.6428571428571429,0.8928571428571429,0.7142857142857143,1.0,0.9857142857142858,0.9285714285714286,0.7857142857142857,1.0,1.0,1.0,1.0,1.0,1.0,0.8857142857142857,0.7821428571428571,0.6857142857142857,0.9821428571428571,0.9035714285714286,0.7928571428571428,0.9571428571428572,0.8571428571428571,0.9857142857142858,0.9285714285714286,0.7857142857142857,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.95,0.8714285714285714,0.9964285714285714,0.9714285714285714,0.8928571428571429,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9857142857142858,0.9285714285714286,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[3. 3. 3. 2. 2. 1. 1. 0.],0.5,0.30357142857142855,0.17857142857142858,0.18571428571428572,0.0869047619047619,0.08928571428571429,0.0,-0.08214285714285714,-0.08928571428571429,-0.18095238095238095,-0.42857142857142855,0.3107142857142857,0.2261904761904762,0.23809523809523808,0.15357142857142858,0.075,0.16071428571428573,0.08214285714285714,0.0017857142857142857,-0.08333333333333333,-0.17142857142857143,0.2976190476190476,0.21666666666666667,0.1392857142857143,0.15714285714285714,0.07738095238095238,-0.0,-0.08928571428571429,0.16071428571428573,0.07142857142857142,-0.125,0.6142857142857143,0.5107142857142857,0.42857142857142855,0.5654761904761905,0.46130952380952384,0.3732142857142857,0.41785714285714287,0.33154761904761904,0.24642857142857144,0.2,0.6428571428571429,0.5261904761904762,0.43214285714285716,0.3535714285714286,0.41785714285714287,0.32857142857142857,0.21428571428571427,0.44642857142857145,0.3392857142857143,0.8214285714285714,0.7071428571428572,0.6202380952380953,0.6571428571428571,0.5714285714285714,0.7321428571428571,1.0,0.8571428571428571,0.7446428571428572,0.6642857142857143,0.8571428571428571,0.7297619047619047,0.6398809523809523,0.5625,0.6375,0.5589285714285714,0.5071428571428571,0.8214285714285714,0.7071428571428572,0.6202380952380953,0.6571428571428571,0.5714285714285714,0.7321428571428571,0.9285714285714286,0.844047619047619,0.7738095238095238,0.8571428571428571,1.0,0.9821428571428571,0.9404761904761905,1.0,1.0,0.9119047619047619,0.8410714285714286,0.7821428571428571,0.9285714285714286,0.8464285714285714,0.7791666666666667,0.8125,0.75,0.9285714285714286,0.844047619047619,0.7738095238095238,0.8571428571428571,1.0,0.9821428571428571,0.9404761904761905,1.0,1.0,1.0,1.0,1.0,1.0,0.9517857142857142,0.9089285714285714,0.9714285714285714,0.924404761904762,0.8845238095238095,0.9357142857142857,0.9821428571428571,0.9404761904761905,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9785714285714285,0.9535714285714286,0.9928571428571429,0.9726190476190476,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9940476190476191,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[3. 3. 3. 2. 2. 2. 0. 0.],1.0,0.7142857142857143,0.7321428571428571,0.40535714285714286,0.37142857142857144,0.15,0.08214285714285714,0.0,-0.15,-0.2642857142857143,-0.6964285714285714,0.6142857142857143,0.5714285714285714,0.35,0.3053571428571429,0.2642857142857143,0.14285714285714285,0.075,-0.0,-0.21964285714285714,-0.38571428571428573,0.2857142857142857,0.2642857142857143,0.21964285714285714,0.07142857142857142,-0.0,-0.10357142857142858,-0.32857142857142857,-0.0,-0.08928571428571429,-0.5178571428571429,0.7964285714285714,0.7428571428571429,0.7321428571428571,0.5535714285714286,0.5125,0.48392857142857143,0.3,0.24642857142857144,0.18571428571428572,-0.06428571428571428,0.4642857142857143,0.4642857142857143,0.4357142857142857,0.40535714285714286,0.23214285714285715,0.175,-0.21428571428571427,0.17857142857142858,0.07142857142857142,0.6428571428571429,0.625,0.6071428571428571,0.4107142857142857,0.37142857142857144,0.39285714285714285,0.6428571428571429,0.9285714285714286,0.8714285714285714,0.85,0.7321428571428571,0.6857142857142857,0.6607142857142857,0.6625,0.45714285714285713,0.43214285714285716,0.10714285714285714,0.6428571428571429,0.625,0.6071428571428571,0.4107142857142857,0.37142857142857144,0.39285714285714285,0.7857142857142857,0.7678571428571429,0.7785714285714286,0.6071428571428571,0.6428571428571429,0.8928571428571429,0.8928571428571429,0.8214285714285714,1.0,0.9571428571428572,0.9303571428571429,0.9357142857142857,0.8214285714285714,0.7964285714285714,0.7946428571428571,0.6142857142857143,0.6321428571428571,0.7857142857142857,0.7678571428571429,0.7785714285714286,0.6071428571428571,0.6428571428571429,0.8928571428571429,0.8928571428571429,0.8214285714285714,0.9642857142857143,1.0,1.0,1.0,1.0,0.9785714285714285,0.9732142857142857,0.8928571428571429,0.8857142857142857,0.9142857142857143,0.7714285714285715,0.8928571428571429,0.8928571428571429,0.8214285714285714,0.9642857142857143,1.0,1.0,1.0,1.0,1.0,0.9928571428571429,1.0,0.9464285714285714,0.9535714285714286,0.9285714285714286,0.9642857142857143,1.0,1.0,1.0,1.0,1.0,1.0,0.9821428571428571,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[3. 3. 3. 3. 1. 1. 1. 0.],0.375,0.21428571428571427,0.21428571428571427,0.10714285714285714,0.15714285714285714,0.0,0.08928571428571429,0.15,0.0,0.08928571428571429,0.10714285714285714,0.07857142857142857,0.14285714285714285,-0.0,0.075,0.12857142857142856,-0.125,-0.0,0.075,-0.0,0.07857142857142857,-0.08928571428571429,-0.0,0.06428571428571428,-0.10714285714285714,-0.0,0.07142857142857142,-0.0,-0.10714285714285714,-0.0,-0.0,0.3142857142857143,0.35714285714285715,0.35714285714285715,0.26785714285714285,0.3142857142857143,0.34285714285714286,0.2857142857142857,0.32857142857142857,0.3607142857142857,0.4,0.14285714285714285,0.2357142857142857,0.2785714285714286,0.3,0.2642857142857143,0.30714285714285716,0.42857142857142855,0.26785714285714285,0.2857142857142857,0.5,0.5142857142857142,0.5142857142857142,0.6107142857142858,0.5714285714285714,0.6607142857142857,1.0,0.5535714285714286,0.5607142857142857,0.55,0.5714285714285714,0.5642857142857143,0.5571428571428572,0.5571428571428572,0.6214285714285714,0.5964285714285714,0.7428571428571429,0.5,0.5142857142857142,0.5142857142857142,0.6107142857142858,0.5714285714285714,0.6607142857142857,0.7714285714285715,0.725,0.7142857142857143,0.875,1.0,0.9357142857142857,0.875,1.0,0.7857142857142857,0.7428571428571429,0.7214285714285714,0.7,0.8214285714285714,0.7607142857142857,0.7392857142857143,0.85,0.8,0.7714285714285715,0.725,0.7142857142857143,0.875,1.0,0.9357142857142857,0.875,1.0,1.0,1.0,1.0,1.0,0.8928571428571429,0.8607142857142858,0.8285714285714286,0.9428571428571428,0.8892857142857142,0.8571428571428571,0.9678571428571429,0.9357142857142857,0.875,1.0,1.0,1.0,1.0,1.0,1.0,0.9571428571428572,0.9285714285714286,0.9142857142857143,0.9892857142857143,0.9678571428571429,1.0,1.0,1.0,1.0,1.0,1.0,0.9892857142857143,0.9678571428571429,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[3. 3. 3. 3. 2. 1. 0. 0.],1.0,0.6726190476190477,0.7142857142857143,0.37142857142857144,0.44285714285714284,0.08928571428571429,0.18095238095238095,0.2642857142857143,-0.08928571428571429,0.0,-0.25,0.35714285714285715,0.42857142857142855,0.1357142857142857,0.22142857142857142,0.29523809523809524,-0.09523809523809523,-0.005952380952380952,0.07976190476190476,-0.16904761904761906,-0.08928571428571429,-0.023809523809523808,0.05714285714285714,0.1357142857142857,-0.1619047619047619,-0.07976190476190476,-0.0,-0.2642857142857143,-0.23214285714285715,-0.16071428571428573,-0.42857142857142855,0.5178571428571429,0.5619047619047619,0.6071428571428571,0.2976190476190476,0.3761904761904762,0.44285714285714284,0.1619047619047619,0.24761904761904763,0.32857142857142857,0.10714285714285714,0.10714285714285714,0.2,0.28095238095238095,0.3535714285714286,0.07738095238095238,0.1630952380952381,-0.0,-0.0,0.08928571428571429,0.34523809523809523,0.4261904761904762,0.4988095238095238,0.3380952380952381,0.42738095238095236,0.2857142857142857,0.6428571428571429,0.6785714285714286,0.6857142857142857,0.7142857142857143,0.4642857142857143,0.5285714285714286,0.580952380952381,0.6321428571428571,0.4154761904761905,0.49404761904761907,0.42857142857142855,0.34523809523809523,0.4261904761904762,0.4988095238095238,0.3380952380952381,0.42738095238095236,0.2857142857142857,0.5714285714285714,0.6369047619047619,0.6928571428571428,0.6095238095238096,0.6428571428571429,0.7678571428571429,0.8142857142857143,0.8809523809523809,0.8392857142857143,0.8,0.8071428571428572,0.8285714285714286,0.6785714285714286,0.7095238095238096,0.7464285714285714,0.6476190476190476,0.7154761904761905,0.5714285714285714,0.6369047619047619,0.6928571428571428,0.6095238095238096,0.6428571428571429,0.7678571428571429,0.8142857142857143,0.8809523809523809,0.9166666666666666,0.9404761904761905,1.0,1.0,0.9047619047619048,0.8857142857142857,0.8928571428571429,0.8285714285714286,0.844047619047619,0.8690476190476191,0.8404761904761905,0.7678571428571429,0.8142857142857143,0.8809523809523809,0.9166666666666666,0.9404761904761905,1.0,1.0,1.0,0.95,0.9428571428571428,0.9535714285714286,0.925,0.9357142857142857,0.9761904761904762,0.9166666666666666,0.9404761904761905,1.0,1.0,1.0,0.9785714285714285,0.9785714285714285,0.9785714285714285,0.9880952380952381,1.0,1.0,1.0,0.9940476190476191,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
