,[3. 2. 2. 2. 2.],[3. 3. 2. 2. 1.],[3. 3. 3. 1. 1.],[3. 3. 3. 2. 0.],[4. 2. 2. 2. 1.],[4. 3. 2. 1. 1.],[4. 3. 2. 2. 0.],[4. 3. 3. 1. 0.],[4. 4. 1. 1. 1.],[4. 4. 2. 1. 0.],[4. 4. 3. 0. 0.],[5. 2. 2. 1. 1.],[5. 2. 2. 2. 0.],[5. 3. 1. 1. 1.],[5. 3. 2. 1. 0.],[5. 3. 3. 0. 0.],[5. 4. 1. 1. 0.],[5. 4. 2. 0. 0.],[5. 5. 1. 0. 0.],[6. 2. 1. 1. 1.],[6. 2. 2. 1. 0.],[6. 3. 1. 1. 0.],[6. 3. 2. 0. 0.],[6. 4. 1. 0. 0.],[6. 5. 0. 0. 0.],[7. 1. 1. 1. 1.],[7. 2. 1. 1. 0.],[7. 2. 2. 0. 0.],[7. 3. 1. 0. 0.],[7. 4. 0. 0. 0.],[8. 1. 1. 1. 0.],[8. 2. 1. 0. 0.],[8. 3. 0. 0. 0.],[9. 1. 1. 0. 0.],[9. 2. 0. 0. 0.],[10.  1.  0.  0.  0.],[11.  0.  0.  0.  0.]
[3. 2. 2. 2. 2.],0.0,-0.2,-0.4,-1.0,0.6,0.4,-0.4,-0.6,1.0,0.2,-0.8,1.0,0.6,1.0,0.4,-0.6,1.0,0.2,1.0,1.0,1.0,1.0,0.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[3. 3. 2. 2. 1.],0.2,0.0,-0.2,-0.5,0.3,0.16666666666666666,-0.13333333333333333,-0.36666666666666664,0.4,-0.0,-0.6,0.7333333333333333,0.4,0.7,0.3333333333333333,-0.2,0.6,0.2,0.8,1.0,0.7666666666666667,0.8,0.5,0.8,1.0,1.0,1.0,0.8,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[3. 3. 3. 1. 1.],0.4,0.2,0.0,-0.0,0.1,-0.0,-0.0,-0.2,-0.2,-0.1,-0.4,0.4,0.4,0.4,0.3,0.2,0.2,0.2,0.6,0.7,0.6,0.7,0.5,0.6,1.0,1.0,0.8,0.8,0.9,1.0,1.0,0.9,1.0,1.0,1.0,1.0,1.0
[3. 3. 3. 2. 0.],1.0,0.5,0.0,0.0,0.55,0.1,0.15,-0.3,-0.2,-0.15,-0.7,0.7,0.7,0.25,0.3,-0.2,-0.0,-0.0,0.2,0.85,0.8,0.45,0.5,0.2,0.4,1.0,0.9,0.9,0.65,0.4,1.0,0.95,0.85,1.0,1.0,1.0,1.0
[4. 2. 2. 2. 1.],-0.6,-0.3,-0.1,-0.55,0.0,0.15,-0.3,-0.15,0.7,0.2,-0.2,0.5,-0.0,0.55,0.1,-0.2,0.7,0.2,0.8,1.0,0.6,0.7,0.25,0.85,1.0,1.0,1.0,0.7,0.85,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[4. 3. 2. 1. 1.],-0.4,-0.16666666666666666,0.0,-0.1,-0.15,0.0,-0.13333333333333333,-0.0,0.2,-0.0,-0.0,0.13333333333333333,-0.0,0.3,0.13333333333333333,0.1,0.36666666666666664,0.15,0.6,0.6,0.4,0.5666666666666667,0.4,0.7,1.0,1.0,0.7666666666666667,0.6,0.8,1.0,1.0,0.9,1.0,1.0,1.0,1.0,1.0
[4. 3. 2. 2. 0.],0.4,0.13333333333333333,0.0,-0.15,0.3,0.13333333333333333,0.0,-0.13333333333333333,0.1,-0.0,-0.3333333333333333,0.4,0.3,0.25,0.13333333333333333,-0.16666666666666666,0.15,-0.016666666666666666,0.2,0.7,0.5666666666666667,0.4,0.2833333333333333,0.35,0.4,1.0,0.8,0.7333333333333333,0.55,0.55,1.0,0.9,0.7,1.0,1.0,1.0,1.0
[4. 3. 3. 1. 0.],0.6,0.36666666666666664,0.2,0.3,0.15,0.0,0.13333333333333333,0.0,-0.3,-0.13333333333333333,-0.16666666666666666,0.1,0.25,-0.05,0.13333333333333333,0.13333333333333333,-0.15,0.03333333333333333,-0.0,0.25,0.4,0.2833333333333333,0.4,0.16666666666666666,0.4,0.4,0.55,0.6,0.5833333333333334,0.55,0.7,0.75,0.85,0.9,0.85,1.0,1.0
[4. 4. 1. 1. 1.],-1.0,-0.4,0.2,0.2,-0.7,-0.2,-0.1,0.3,0.0,-0.0,0.4,-0.4,-0.4,-0.0,-0.0,0.4,0.2,0.1,0.4,-0.0,-0.0,0.4,0.4,0.7,1.0,0.6,0.4,0.4,0.7,1.0,0.9,0.7,1.0,1.0,1.0,1.0,1.0
[4. 4. 2. 1. 0.],-0.2,0.0,0.1,0.15,-0.2,0.0,0.0,0.13333333333333333,0.0,0.0,0.13333333333333333,-0.16666666666666666,-0.15,-0.0,-0.0,0.13333333333333333,-0.0,-0.0,-0.0,0.1,0.13333333333333333,0.26666666666666666,0.26666666666666666,0.3333333333333333,0.4,0.4,0.4166666666666667,0.4,0.5,0.7,0.7,0.6666666666666666,0.7,0.9,0.85,1.0,1.0
[4. 4. 3. 0. 0.],0.8,0.6,0.4,0.7,0.2,0.0,0.3333333333333333,0.16666666666666666,-0.4,-0.13333333333333333,0.0,-0.2,0.1,-0.3,-0.03333333333333333,0.13333333333333333,-0.4,-0.13333333333333333,-0.4,-0.2,0.1,-0.03333333333333333,0.26666666666666666,-0.13333333333333333,-0.2,-0.2,0.1,0.4,0.26666666666666666,0.2,0.1,0.4,0.6,0.4,0.7,0.7,1.0
[5. 2. 2. 1. 1.],-1.0,-0.7333333333333333,-0.4,-0.7,-0.5,-0.13333333333333333,-0.4,-0.1,0.4,0.16666666666666666,0.2,0.0,-0.3,0.3,-0.0,-0.0,0.5666666666666667,0.3,0.8,0.5,0.13333333333333333,0.4,0.1,0.7,1.0,1.0,0.7333333333333333,0.4,0.7,1.0,1.0,0.9,1.0,1.0,1.0,1.0,1.0
[5. 2. 2. 2. 0.],-0.6,-0.4,-0.4,-0.7,0.0,0.0,-0.3,-0.25,0.4,0.15,-0.1,0.3,0.0,0.25,-0.0,-0.3,0.4,0.15,0.5,0.55,0.3,0.25,-0.05,0.4,0.55,1.0,0.7,0.5,0.4,0.55,1.0,0.85,0.55,1.0,1.0,1.0,1.0
[5. 3. 1. 1. 1.],-1.0,-0.7,-0.4,-0.25,-0.55,-0.3,-0.25,0.05,0.0,0.0,0.3,-0.3,-0.25,0.0,-0.0,0.3,0.3,0.25,0.7,-0.0,-0.0,0.3,0.25,0.55,1.0,0.6,0.4,0.4,0.7,1.0,0.9,0.7,1.0,1.0,1.0,1.0,1.0
[5. 3. 2. 1. 0.],-0.4,-0.3333333333333333,-0.3,-0.3,-0.1,-0.13333333333333333,-0.13333333333333333,-0.13333333333333333,0.0,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,-0.0,0.13333333333333333,0.13333333333333333,0.3333333333333333,0.1,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.25,0.55,0.4,0.4166666666666667,0.4,0.4166666666666667,0.55,0.7,0.6666666666666666,0.7,0.9,0.85,1.0,1.0
[5. 3. 3. 0. 0.],0.6,0.2,-0.2,0.2,0.2,-0.1,0.16666666666666666,-0.13333333333333333,-0.4,-0.13333333333333333,-0.13333333333333333,0.0,0.3,-0.3,0.0,0.0,-0.26666666666666666,-0.0,-0.13333333333333333,-0.2,0.1,-0.16666666666666666,0.13333333333333333,-0.13333333333333333,-0.0,-0.2,0.1,0.4,0.13333333333333333,0.1,0.1,0.4,0.5,0.4,0.7,0.7,1.0
[5. 4. 1. 1. 0.],-1.0,-0.6,-0.2,0.0,-0.7,-0.36666666666666664,-0.15,0.15,-0.2,0.0,0.4,-0.5666666666666667,-0.4,-0.3,-0.13333333333333333,0.26666666666666666,0.0,0.13333333333333333,0.16666666666666666,-0.4,-0.26666666666666666,-0.0,0.13333333333333333,0.2833333333333333,0.55,-0.2,-0.0,0.13333333333333333,0.4,0.7,0.3,0.4,0.7,0.7333333333333333,0.7,1.0,1.0
[5. 4. 2. 0. 0.],-0.2,-0.2,-0.2,0.0,-0.2,-0.15,0.016666666666666666,-0.03333333333333333,-0.1,0.0,0.13333333333333333,-0.3,-0.15,-0.25,-0.13333333333333333,0.0,-0.13333333333333333,0.0,-0.13333333333333333,-0.3,-0.16666666666666666,-0.13333333333333333,-0.0,-0.0,-0.0,-0.2,-0.03333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.1,0.26666666666666666,0.4,0.4,0.6,0.7,1.0
[5. 5. 1. 0. 0.],-1.0,-0.8,-0.6,-0.2,-0.8,-0.6,-0.2,0.0,-0.4,0.0,0.4,-0.8,-0.5,-0.7,-0.3333333333333333,0.13333333333333333,-0.16666666666666666,0.13333333333333333,0.0,-0.7,-0.5,-0.4,-0.13333333333333333,-0.0,0.2,-0.6,-0.4,-0.13333333333333333,-0.0,0.4,-0.3,-0.0,0.4,0.13333333333333333,0.4,0.6,1.0
[6. 2. 1. 1. 1.],-1.0,-1.0,-0.7,-0.85,-1.0,-0.6,-0.7,-0.25,0.0,-0.1,0.2,-0.5,-0.55,0.0,-0.1,0.2,0.4,0.3,0.7,0.0,-0.15,0.3,0.15,0.7,1.0,0.6,0.3,0.1,0.55,1.0,0.9,0.7,1.0,1.0,1.0,1.0,1.0
[6. 2. 2. 1. 0.],-1.0,-0.7666666666666667,-0.6,-0.8,-0.6,-0.4,-0.5666666666666667,-0.4,0.0,-0.13333333333333333,-0.1,-0.13333333333333333,-0.3,0.0,-0.13333333333333333,-0.1,0.26666666666666666,0.16666666666666666,0.5,0.15,0.0,0.13333333333333333,-0.0,0.4166666666666667,0.7,0.4,0.2833333333333333,0.13333333333333333,0.25,0.55,0.7,0.5833333333333334,0.55,0.9,0.85,1.0,1.0
[6. 3. 1. 1. 0.],-1.0,-0.8,-0.7,-0.45,-0.7,-0.5666666666666667,-0.4,-0.2833333333333333,-0.4,-0.26666666666666666,0.03333333333333333,-0.4,-0.25,-0.3,-0.13333333333333333,0.16666666666666666,0.0,0.13333333333333333,0.4,-0.3,-0.13333333333333333,0.0,0.13333333333333333,0.2833333333333333,0.7,-0.2,-0.0,0.13333333333333333,0.2833333333333333,0.55,0.3,0.4,0.7,0.7333333333333333,0.7,1.0,1.0
[6. 3. 2. 0. 0.],-0.4,-0.5,-0.5,-0.5,-0.25,-0.4,-0.2833333333333333,-0.4,-0.4,-0.26666666666666666,-0.26666666666666666,-0.1,0.05,-0.25,-0.13333333333333333,-0.13333333333333333,-0.13333333333333333,0.0,0.13333333333333333,-0.15,0.0,-0.13333333333333333,0.0,-0.0,0.3,-0.2,-0.03333333333333333,0.13333333333333333,-0.0,0.1,0.1,0.26666666666666666,0.3,0.4,0.6,0.7,1.0
[6. 4. 1. 0. 0.],-1.0,-0.8,-0.6,-0.2,-0.85,-0.7,-0.35,-0.16666666666666666,-0.7,-0.3333333333333333,0.13333333333333333,-0.7,-0.4,-0.55,-0.25,0.13333333333333333,-0.2833333333333333,0.0,0.0,-0.7,-0.4166666666666667,-0.2833333333333333,0.0,0.0,0.3,-0.6,-0.4,-0.13333333333333333,-0.0,0.3,-0.3,-0.0,0.4,0.13333333333333333,0.4,0.6,1.0
[6. 5. 0. 0. 0.],-1.0,-1.0,-1.0,-0.4,-1.0,-1.0,-0.4,-0.4,-1.0,-0.4,0.2,-1.0,-0.55,-1.0,-0.55,0.0,-0.55,0.0,-0.2,-1.0,-0.7,-0.7,-0.3,-0.3,0.0,-1.0,-0.7,-0.4,-0.4,-0.0,-0.7,-0.4,-0.0,-0.4,-0.0,-0.0,0.6
[7. 1. 1. 1. 1.],-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.4,-0.6,-0.4,0.2,-1.0,-1.0,-0.6,-0.4,0.2,0.2,0.2,0.6,-0.6,-0.4,0.2,0.2,0.6,1.0,0.0,-0.0,-0.0,0.6,1.0,0.6,0.4,1.0,1.0,1.0,1.0,1.0
[7. 2. 1. 1. 0.],-1.0,-1.0,-0.8,-0.9,-1.0,-0.7666666666666667,-0.8,-0.55,-0.4,-0.4166666666666667,-0.1,-0.7333333333333333,-0.7,-0.4,-0.4166666666666667,-0.1,0.0,0.03333333333333333,0.4,-0.3,-0.2833333333333333,0.0,0.03333333333333333,0.4,0.7,0.0,0.0,-0.0,0.2833333333333333,0.7,0.3,0.2833333333333333,0.55,0.7333333333333333,0.7,1.0,1.0
[7. 2. 2. 0. 0.],-1.0,-0.8,-0.8,-0.9,-0.7,-0.6,-0.7333333333333333,-0.6,-0.4,-0.4,-0.4,-0.4,-0.5,-0.4,-0.4,-0.4,-0.13333333333333333,-0.13333333333333333,0.13333333333333333,-0.1,-0.13333333333333333,-0.13333333333333333,-0.13333333333333333,0.13333333333333333,0.4,0.0,0.0,0.0,-0.0,0.3,0.1,0.13333333333333333,0.1,0.4,0.5,0.7,1.0
[7. 3. 1. 0. 0.],-1.0,-0.9,-0.9,-0.65,-0.85,-0.8,-0.55,-0.5833333333333334,-0.7,-0.5,-0.26666666666666666,-0.7,-0.4,-0.7,-0.4166666666666667,-0.13333333333333333,-0.4,-0.13333333333333333,0.0,-0.55,-0.25,-0.2833333333333333,0.0,0.0,0.4,-0.6,-0.2833333333333333,0.0,0.0,0.3,-0.3,-0.0,0.3,0.13333333333333333,0.4,0.6,1.0
[7. 4. 0. 0. 0.],-1.0,-1.0,-1.0,-0.4,-1.0,-1.0,-0.55,-0.55,-1.0,-0.7,-0.2,-1.0,-0.55,-1.0,-0.55,-0.1,-0.7,-0.3,-0.4,-1.0,-0.55,-0.55,-0.1,-0.3,0.0,-1.0,-0.7,-0.3,-0.3,0.0,-0.7,-0.4,-0.0,-0.4,-0.0,-0.0,0.6
[8. 1. 1. 1. 0.],-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.7,-0.9,-0.7,-0.1,-1.0,-1.0,-0.9,-0.7,-0.1,-0.3,-0.1,0.3,-0.9,-0.7,-0.3,-0.1,0.3,0.7,-0.6,-0.3,-0.1,0.3,0.7,0.0,0.15,0.7,0.5,0.55,1.0,1.0
[8. 2. 1. 0. 0.],-1.0,-1.0,-0.9,-0.95,-1.0,-0.9,-0.9,-0.75,-0.7,-0.6666666666666666,-0.4,-0.9,-0.85,-0.7,-0.6666666666666666,-0.4,-0.4,-0.26666666666666666,0.0,-0.7,-0.5833333333333334,-0.4,-0.26666666666666666,0.0,0.4,-0.4,-0.2833333333333333,-0.13333333333333333,0.0,0.4,-0.15,0.0,0.3,0.13333333333333333,0.3,0.6,1.0
[8. 3. 0. 0. 0.],-1.0,-1.0,-1.0,-0.85,-1.0,-1.0,-0.7,-0.85,-1.0,-0.7,-0.6,-1.0,-0.55,-1.0,-0.7,-0.5,-0.7,-0.4,-0.4,-1.0,-0.55,-0.7,-0.3,-0.4,0.0,-1.0,-0.55,-0.1,-0.3,0.0,-0.7,-0.3,0.0,-0.4,-0.0,-0.0,0.6
[9. 1. 1. 0. 0.],-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.9,-1.0,-0.9,-0.4,-1.0,-1.0,-1.0,-0.9,-0.4,-0.7333333333333333,-0.4,-0.13333333333333333,-1.0,-0.9,-0.7333333333333333,-0.4,-0.13333333333333333,0.4,-1.0,-0.7333333333333333,-0.4,-0.13333333333333333,0.4,-0.5,-0.13333333333333333,0.4,0.0,0.3,0.5,1.0
[9. 2. 0. 0. 0.],-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.85,-1.0,-0.85,-0.7,-1.0,-1.0,-1.0,-0.85,-0.7,-0.7,-0.6,-0.4,-1.0,-0.85,-0.7,-0.6,-0.4,0.0,-1.0,-0.7,-0.5,-0.4,0.0,-0.55,-0.3,0.0,-0.3,0.0,-0.0,0.6
[10.  1.  0.  0.  0.],-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.7,-1.0,-1.0,-1.0,-1.0,-0.7,-1.0,-0.7,-0.6,-1.0,-1.0,-1.0,-0.7,-0.6,0.0,-1.0,-1.0,-0.7,-0.6,0.0,-1.0,-0.6,0.0,-0.5,0.0,0.0,0.6
[11.  0.  0.  0.  0.],-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.6,-1.0,-1.0,-1.0,-1.0,-0.6,-1.0,-1.0,-0.6,-1.0,-0.6,-0.6,0.0
