,[2. 2. 2. 2. 1. 1. 1. 1.],[2. 2. 2. 2. 2. 1. 1. 0.],[2. 2. 2. 2. 2. 2. 0. 0.],[3. 2. 2. 1. 1. 1. 1. 1.],[3. 2. 2. 2. 1. 1. 1. 0.],[3. 2. 2. 2. 2. 1. 0. 0.],[3. 3. 1. 1. 1. 1. 1. 1.],[3. 3. 2. 1. 1. 1. 1. 0.],[3. 3. 2. 2. 1. 1. 0. 0.],[3. 3. 2. 2. 2. 0. 0. 0.],[3. 3. 3. 1. 1. 1. 0. 0.],[3. 3. 3. 2. 1. 0. 0. 0.],[3. 3. 3. 3. 0. 0. 0. 0.],[4. 2. 1. 1. 1. 1. 1. 1.],[4. 2. 2. 1. 1. 1. 1. 0.],[4. 2. 2. 2. 1. 1. 0. 0.],[4. 2. 2. 2. 2. 0. 0. 0.],[4. 3. 1. 1. 1. 1. 1. 0.],[4. 3. 2. 1. 1. 1. 0. 0.],[4. 3. 2. 2. 1. 0. 0. 0.],[4. 3. 3. 1. 1. 0. 0. 0.],[4. 3. 3. 2. 0. 0. 0. 0.],[4. 4. 1. 1. 1. 1. 0. 0.],[4. 4. 2. 1. 1. 0. 0. 0.],[4. 4. 2. 2. 0. 0. 0. 0.],[4. 4. 3. 1. 0. 0. 0. 0.],[4. 4. 4. 0. 0. 0. 0. 0.],[5. 1. 1. 1. 1. 1. 1. 1.],[5. 2. 1. 1. 1. 1. 1. 0.],[5. 2. 2. 1. 1. 1. 0. 0.],[5. 2. 2. 2. 1. 0. 0. 0.],[5. 3. 1. 1. 1. 1. 0. 0.],[5. 3. 2. 1. 1. 0. 0. 0.],[5. 3. 2. 2. 0. 0. 0. 0.],[5. 3. 3. 1. 0. 0. 0. 0.],[5. 4. 1. 1. 1. 0. 0. 0.],[5. 4. 2. 1. 0. 0. 0. 0.],[5. 4. 3. 0. 0. 0. 0. 0.],[5. 5. 1. 1. 0. 0. 0. 0.],[5. 5. 2. 0. 0. 0. 0. 0.],[6. 1. 1. 1. 1. 1. 1. 0.],[6. 2. 1. 1. 1. 1. 0. 0.],[6. 2. 2. 1. 1. 0. 0. 0.],[6. 2. 2. 2. 0. 0. 0. 0.],[6. 3. 1. 1. 1. 0. 0. 0.],[6. 3. 2. 1. 0. 0. 0. 0.],[6. 3. 3. 0. 0. 0. 0. 0.],[6. 4. 1. 1. 0. 0. 0. 0.],[6. 4. 2. 0. 0. 0. 0. 0.],[6. 5. 1. 0. 0. 0. 0. 0.],[6. 6. 0. 0. 0. 0. 0. 0.],[7. 1. 1. 1. 1. 1. 0. 0.],[7. 2. 1. 1. 1. 0. 0. 0.],[7. 2. 2. 1. 0. 0. 0. 0.],[7. 3. 1. 1. 0. 0. 0. 0.],[7. 3. 2. 0. 0. 0. 0. 0.],[7. 4. 1. 0. 0. 0. 0. 0.],[7. 5. 0. 0. 0. 0. 0. 0.],[8. 1. 1. 1. 1. 0. 0. 0.],[8. 2. 1. 1. 0. 0. 0. 0.],[8. 2. 2. 0. 0. 0. 0. 0.],[8. 3. 1. 0. 0. 0. 0. 0.],[8. 4. 0. 0. 0. 0. 0. 0.],[9. 1. 1. 1. 0. 0. 0. 0.],[9. 2. 1. 0. 0. 0. 0. 0.],[9. 3. 0. 0. 0. 0. 0. 0.],[10.  1.  1.  0.  0.  0.  0.  0.],[10.  2.  0.  0.  0.  0.  0.  0.],[11.  1.  0.  0.  0.  0.  0.  0.],[12.  0.  0.  0.  0.  0.  0.  0.]
[2. 2. 2. 2. 1. 1. 1. 1.],0.0,-0.5,-0.7857142857142857,0.5,-0.0,-0.42857142857142855,0.7857142857142857,0.42857142857142855,-0.0,-0.42857142857142855,0.42857142857142855,-0.0,-0.0,1.0,0.7857142857142857,0.42857142857142855,-0.0,0.9285714285714286,0.7428571428571429,0.42857142857142855,0.7857142857142857,0.5,0.9857142857142858,0.9285714285714286,0.7857142857142857,1.0,1.0,1.0,1.0,0.9285714285714286,0.7428571428571429,0.9857142857142858,0.9285714285714286,0.7857142857142857,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9857142857142858,0.9285714285714286,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[2. 2. 2. 2. 2. 1. 1. 0.],0.5,0.0,-0.5,0.5535714285714286,0.19642857142857142,-0.22023809523809523,0.6428571428571429,0.3333333333333333,-0.0,-0.42857142857142855,0.16071428571428573,-0.19642857142857142,-0.5,1.0,0.7619047619047619,0.4880952380952381,0.10714285714285714,0.8214285714285714,0.5892857142857143,0.30952380952380953,0.44642857142857145,0.125,0.9285714285714286,0.7976190476190477,0.6309523809523809,0.7321428571428571,1.0,1.0,1.0,0.8928571428571429,0.7321428571428571,0.9285714285714286,0.7976190476190477,0.6309523809523809,0.7321428571428571,0.9821428571428571,0.9404761904761905,1.0,1.0,1.0,1.0,1.0,0.9642857142857143,0.9107142857142857,0.9821428571428571,0.9404761904761905,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9940476190476191,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[2. 2. 2. 2. 2. 2. 0. 0.],0.7857142857142857,0.5,0.0,0.6428571428571429,0.35714285714285715,-0.0,0.4642857142857143,0.2857142857142857,-0.0,-0.5,-0.0,-0.35714285714285715,-0.7857142857142857,1.0,0.7857142857142857,0.5714285714285714,0.25,0.6428571428571429,0.4642857142857143,0.21428571428571427,0.17857142857142858,-0.25,0.7857142857142857,0.6428571428571429,0.4642857142857143,0.39285714285714285,0.6428571428571429,1.0,1.0,0.8928571428571429,0.7857142857142857,0.7857142857142857,0.6428571428571429,0.4642857142857143,0.39285714285714285,0.8928571428571429,0.8214285714285714,0.6428571428571429,0.9642857142857143,1.0,1.0,1.0,0.9642857142857143,1.0,0.8928571428571429,0.8214285714285714,0.6428571428571429,0.9642857142857143,1.0,1.0,1.0,1.0,1.0,1.0,0.9642857142857143,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[3. 2. 2. 1. 1. 1. 1. 1.],-0.5,-0.5535714285714286,-0.6428571428571429,0.0,-0.19642857142857142,-0.3333333333333333,0.5,0.22023809523809523,-0.0,-0.16071428571428573,0.42857142857142855,0.19642857142857142,0.5,0.6607142857142857,0.38095238095238093,0.16071428571428573,-0.0,0.7619047619047619,0.5535714285714286,0.3333333333333333,0.7619047619047619,0.5535714285714286,0.9285714285714286,0.8214285714285714,0.6428571428571429,1.0,1.0,1.0,0.8988095238095238,0.7321428571428571,0.5357142857142857,0.9464285714285714,0.8571428571428571,0.7023809523809523,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9821428571428571,0.9285714285714286,0.8214285714285714,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[3. 2. 2. 2. 1. 1. 1. 0.],0.0,-0.19642857142857142,-0.35714285714285715,0.19642857142857142,0.0,-0.175,0.35714285714285715,0.175,-0.0,-0.17142857142857143,0.17142857142857143,-0.0,-0.0,0.625,0.425,0.24642857142857144,0.07857142857142857,0.5803571428571429,0.4160714285714286,0.25357142857142856,0.4392857142857143,0.2857142857142857,0.7714285714285715,0.6392857142857142,0.5,0.7142857142857143,1.0,1.0,0.8392857142857143,0.6910714285714286,0.5473214285714286,0.8142857142857143,0.6991071428571428,0.5785714285714286,0.7678571428571429,0.9357142857142857,0.875,1.0,1.0,1.0,1.0,0.9464285714285714,0.8696428571428572,0.7857142857142857,0.9491071428571428,0.8982142857142857,1.0,1.0,1.0,1.0,1.0,1.0,0.9892857142857143,0.9678571428571429,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[3. 2. 2. 2. 2. 1. 0. 0.],0.42857142857142855,0.22023809523809523,0.0,0.3333333333333333,0.175,0.0,0.2857142857142857,0.15,-0.0,-0.19642857142857142,-0.0,-0.175,-0.42857142857142855,0.625,0.4714285714285714,0.3345238095238095,0.17857142857142858,0.42857142857142855,0.30952380952380953,0.175,0.16904761904761906,-0.005952380952380952,0.5714285714285714,0.47619047619047616,0.36428571428571427,0.36666666666666664,0.6428571428571429,1.0,0.7976190476190477,0.6821428571428572,0.5857142857142857,0.6357142857142857,0.5511904761904762,0.4654761904761905,0.44761904761904764,0.7678571428571429,0.7214285714285714,0.7023809523809523,0.9166666666666666,0.9404761904761905,1.0,0.9071428571428571,0.8428571428571429,0.8035714285714286,0.8071428571428572,0.7714285714285715,0.7619047619047619,0.9166666666666666,0.9404761904761905,1.0,1.0,1.0,0.9678571428571429,0.95,0.9321428571428572,0.9523809523809523,1.0,1.0,1.0,0.9940476190476191,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[3. 3. 1. 1. 1. 1. 1. 1.],-0.7857142857142857,-0.6428571428571429,-0.4642857142857143,-0.5,-0.35714285714285715,-0.2857142857142857,0.0,-0.0,-0.0,-0.0,0.5,0.35714285714285715,0.7857142857142857,-0.0,-0.0,-0.0,-0.0,0.5,0.35714285714285715,0.2857142857142857,0.7857142857142857,0.6428571428571429,0.7857142857142857,0.6428571428571429,0.4642857142857143,1.0,1.0,0.75,0.5714285714285714,0.4642857142857143,0.42857142857142855,0.8928571428571429,0.7857142857142857,0.6428571428571429,1.0,1.0,1.0,1.0,1.0,1.0,0.9642857142857143,0.8928571428571429,0.7857142857142857,0.6428571428571429,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[3. 3. 2. 1. 1. 1. 1. 0.],-0.42857142857142855,-0.3333333333333333,-0.2857142857142857,-0.22023809523809523,-0.175,-0.15,0.0,0.0,-0.0,-0.0,0.19642857142857142,0.175,0.42857142857142855,0.08928571428571429,0.08095238095238096,0.075,0.07142857142857142,0.2857142857142857,0.25,0.22142857142857142,0.4583333333333333,0.40714285714285714,0.5214285714285715,0.46190476190476193,0.40476190476190477,0.7202380952380952,1.0,0.625,0.5119047619047619,0.45714285714285713,0.41785714285714287,0.680952380952381,0.6154761904761905,0.5619047619047619,0.8261904761904761,0.85,0.7857142857142857,1.0,1.0,1.0,0.8928571428571429,0.794047619047619,0.7321428571428571,0.6785714285714286,0.9142857142857143,0.8666666666666667,1.0,1.0,1.0,1.0,1.0,0.9821428571428571,0.9464285714285714,0.9071428571428571,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[3. 3. 2. 2. 1. 1. 0. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.14285714285714285,0.1523809523809524,0.15119047619047618,0.15,0.15476190476190477,0.15595238095238095,0.15595238095238095,0.17142857142857143,0.1761904761904762,0.3,0.30357142857142855,0.3,0.3595238095238095,0.6428571428571429,0.5,0.47619047619047616,0.45357142857142857,0.44285714285714284,0.4714285714285714,0.46904761904761905,0.4714285714285714,0.5261904761904762,0.6071428571428571,0.6166666666666667,0.7619047619047619,0.8547619047619047,0.8809523809523809,0.7857142857142857,0.7214285714285714,0.6964285714285714,0.6857142857142857,0.7321428571428571,0.7380952380952381,0.8571428571428571,0.8547619047619047,0.8809523809523809,1.0,1.0,0.9285714285714286,0.8821428571428571,0.8690476190476191,0.9119047619047619,0.9285714285714286,1.0,1.0,0.9857142857142858,0.969047619047619,0.9761904761904762,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[3. 3. 2. 2. 2. 0. 0. 0.],0.42857142857142855,0.42857142857142855,0.5,0.16071428571428573,0.17142857142857143,0.19642857142857142,0.0,0.0,0.0,0.0,-0.14464285714285716,-0.17142857142857143,-0.42857142857142855,0.16071428571428573,0.20357142857142857,0.22857142857142856,0.26785714285714285,0.07142857142857142,0.075,0.08214285714285714,-0.06785714285714285,-0.10714285714285714,0.14285714285714285,0.15,0.15714285714285714,0.017857142857142856,0.10714285714285714,0.375,0.42857142857142855,0.4517857142857143,0.4928571428571429,0.3,0.32142857142857145,0.37142857142857144,0.19642857142857142,0.375,0.4142857142857143,0.32142857142857145,0.6071428571428571,0.7142857142857143,0.6428571428571429,0.65,0.6767857142857143,0.75,0.525,0.5785714285714286,0.5178571428571429,0.6071428571428571,0.7142857142857143,0.8214285714285714,1.0,0.8214285714285714,0.8214285714285714,0.8642857142857143,0.7285714285714285,0.8392857142857143,0.8214285714285714,1.0,0.9285714285714286,0.9392857142857143,1.0,0.8928571428571429,1.0,0.9821428571428571,1.0,1.0,1.0,1.0,1.0,1.0
